,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_All_homes
0,Alabama,105666.67,101700.0,97250.0,97266.67,106500.0,110666.67,113200.0,117066.67,120333.33,126608.33,131450.0,111609.85
1,Alaska,275641.67,277816.67,278478.57,277408.33,281925.0,287891.67,300550.0,303491.67,305766.67,309141.67,310016.67,291648.05
2,Arizona,167816.67,150333.33,136100.0,144241.67,166925.0,179875.0,190583.33,206758.33,223658.33,241525.0,253250.0,187369.7
3,Arkansas,99025.0,97391.67,94678.57,94041.67,97141.67,99958.33,103533.33,109483.33,115558.33,121600.0,126733.33,105376.84
4,California,342408.33,332483.33,312535.71,310858.33,363791.67,407491.67,435458.33,466533.33,504300.0,540650.0,549183.33,415063.1
5,Colorado,217550.0,214116.67,206721.43,212233.33,228433.33,246858.33,277591.67,310458.33,340608.33,365016.67,379533.33,272647.4
6,Connecticut,246425.0,240708.33,227757.14,216475.0,219083.33,221291.67,222225.0,225008.33,231391.67,240241.67,243900.0,230409.74
7,Delaware,220675.0,221858.33,220321.43,187541.67,188875.0,196891.67,203108.33,214325.0,224033.33,235358.33,237400.0,213671.65
8,District of Columbia,357483.33,354391.67,353635.71,369116.67,408125.0,443383.33,469791.67,502841.67,542541.67,567558.33,574850.0,449429.0
9,Florida,152958.33,137458.33,126278.57,125850.0,136741.67,152033.33,166316.67,184383.33,206325.0,224241.67,235250.0,167985.17
10,Georgia,141416.67,131733.33,119685.71,110750.0,118358.33,130200.0,139300.0,149300.0,161075.0,176191.67,189016.67,142457.03
11,Hawaii,436133.33,421475.0,408800.0,413816.67,447141.67,483358.33,510816.67,549150.0,577266.67,610925.0,618883.33,497978.79
12,Idaho,171900.0,158333.33,145464.29,143833.33,155533.33,168233.33,177450.0,191141.67,209383.33,236200.0,264150.0,183783.87
13,Illinois,169933.33,157633.33,144114.29,134666.67,138600.0,146100.0,152808.33,159375.0,167266.67,175508.33,181083.33,157008.12
14,Indiana,110408.33,107925.0,106128.57,104666.67,104566.67,106041.67,110200.0,116266.67,124208.33,134991.67,144350.0,115432.14
15,Iowa,110958.33,111675.0,110164.29,111250.0,114408.33,117783.33,122858.33,127541.67,133516.67,138983.33,143550.0,122062.66
16,Kansas,115808.33,114450.0,110721.43,108716.67,109491.67,112325.0,115575.0,121125.0,128833.33,135033.33,140416.67,119317.86
17,Kentucky,113533.33,114491.67,112571.43,110441.67,111808.33,113791.67,117183.33,123208.33,131483.33,139300.0,145516.67,121211.8
18,Louisiana,125625.0,124958.33,121307.14,118458.33,120733.33,123516.67,127200.0,133716.67,140316.67,145316.67,146566.67,129792.32
19,Maine,172750.0,176583.33,170942.86,171125.0,176166.67,181450.0,185900.0,194233.33,208991.67,223500.0,233583.33,190475.11
20,Maryland,260933.33,244400.0,229728.57,224791.67,235108.33,244850.0,250766.67,258591.67,270891.67,283983.33,290200.0,254022.29
21,Massachusetts,293900.0,292525.0,282550.0,279233.33,294816.67,313233.33,326616.67,345358.33,374058.33,396750.0,409150.0,328017.42
22,Michigan,97941.67,89300.0,83742.86,83858.33,92408.33,102858.33,112375.0,121825.0,132933.33,143775.0,152083.33,110281.93
