,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_4br
0,Alabama,238566.67,229633.33,219671.43,216966.67,222158.33,228891.67,233833.33,241475.0,243358.33,256825.0,269033.33,236401.19
1,Alaska,375733.33,378016.67,380035.71,388783.33,398550.0,400291.67,414775.0,427341.67,419666.67,420091.67,410116.67,401218.4
2,Arizona,214358.33,197925.0,177800.0,175883.33,188158.33,195325.0,200166.67,208341.67,220275.0,229866.67,237816.67,204174.24
3,Arkansas,230641.67,223033.33,218735.71,219866.67,220616.67,225400.0,225750.0,238775.0,242491.67,256008.33,270583.33,233809.31
4,California,421383.33,413341.67,390035.71,389000.0,450891.67,497775.0,531325.0,566066.67,605083.33,639708.33,646583.33,504654.0
5,Colorado,297391.67,290791.67,281407.14,289475.0,310691.67,335633.33,370700.0,403816.67,432633.33,457700.0,474150.0,358580.95
6,Connecticut,358441.67,351000.0,336950.0,324516.67,329725.0,332791.67,332858.33,332958.33,339816.67,350733.33,354216.67,340364.39
7,Delaware,311075.0,301658.33,285921.43,275375.0,280566.67,287016.67,295733.33,308191.67,316016.67,335916.67,335933.33,303036.8
8,District of Columbia,527000.0,542108.33,545450.0,575483.33,634625.0,691516.67,741450.0,795716.67,830950.0,868075.0,890833.33,694837.12
9,Florida,236641.67,217150.0,204300.0,207375.0,223633.33,245133.33,261925.0,281816.67,303025.0,321616.67,336133.33,258068.18
10,Georgia,218033.33,205091.67,188742.86,181908.33,197175.0,216333.33,227058.33,239575.0,254650.0,272550.0,286350.0,226133.44
11,Hawaii,584991.67,592900.0,592307.14,603766.67,641300.0,683066.67,707516.67,753316.67,784991.67,828233.33,830383.33,691161.26
12,Idaho,201983.33,185475.0,172664.29,170625.0,187258.33,202525.0,212583.33,231716.67,253675.0,281075.0,311233.33,219164.94
13,Illinois,290700.0,273066.67,254228.57,244725.0,256241.67,269633.33,275966.67,283091.67,293225.0,304525.0,309866.67,277751.84
14,Indiana,160533.33,158825.0,157042.86,157250.0,160233.33,164108.33,169500.0,177516.67,187450.0,202000.0,215733.33,173653.9
15,Iowa,152883.33,153641.67,152800.0,156816.67,162541.67,168058.33,175591.67,183025.0,190766.67,199100.0,207116.67,172940.15
16,Kansas,194300.0,193633.33,188950.0,188100.0,190908.33,195766.67,201325.0,213566.67,230825.0,242941.67,251633.33,208359.09
17,Kentucky,193066.67,193525.0,189657.14,188125.0,190883.33,193866.67,200183.33,210816.67,222666.67,233433.33,242700.0,205356.71
18,Louisiana,199158.33,203841.67,204764.29,208508.33,214241.67,218883.33,224141.67,227600.0,231900.0,237333.33,238400.0,218979.33
19,Maine,225083.33,229666.67,222200.0,222975.0,229925.0,238458.33,245366.67,255925.0,272916.67,292541.67,305950.0,249182.58
20,Maryland,,,,,,,,,,,,
21,Massachusetts,405216.67,405141.67,394071.43,394941.67,413691.67,432516.67,449233.33,471816.67,503358.33,534008.33,548400.0,450217.86
22,Michigan,194608.33,184875.0,181221.43,192191.67,216083.33,237941.67,251808.33,265200.0,282083.33,297341.67,309116.67,237497.4
