YEAR,ALL_HOMES,Bottom_tier,Br1,Br2,Br3,Br4,Br56,Condominum
2009,342408.33,171858.33,227391.67,280241.67,323016.67,421383.33,578141.67,129358.33
2010,332483.33,158433.33,208266.67,263841.67,312341.67,413341.67,568391.67,125591.67
2011,312535.71,149850.00,187692.86,246400.00,295292.86,390035.71,537814.29,125171.43
2012,310858.33,148500.00,179925.00,242958.33,293566.67,389000.00,544500.00,122941.67
2013,363791.67,175175.00,220233.33,287283.33,344125.00,450891.67,625891.67,123641.67
2014,407491.67,207225.00,261791.67,329225.00,385733.33,497775.00,680225.00,124508.33
2015,435458.33,228633.33,288550.00,356258.33,414825.00,531325.00,718916.67,122841.67
2016,466533.33,248375.00,318725.00,387258.33,443958.33,566066.67,757608.33,123525.00
2017,504300.00,271683.33,347158.33,421400.00,478491.67,605083.33,799900.00,131716.67
2018,540650.00,294533.33,378983.33,454641.67,512775.00,639708.33,843025.00,135441.67
2019,549183.33,306050.00,387183.33,463483.33,522266.67,646583.33,849550.00,139133.33
