,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_1br
0,Alabama,93641.67,88508.33,84085.71,82891.67,76291.67,78991.67,82458.33,85533.33,88316.67,93008.33,95000.0,85788.1
1,Alaska,135758.33,134016.67,133835.71,130925.0,133591.67,140183.33,139300.0,137641.67,141441.67,141150.0,137933.33,136861.11
2,Arizona,100775.0,90583.33,79050.0,81708.33,83283.33,84191.67,81866.67,85491.67,88975.0,93533.33,98633.33,87441.27
3,Arkansas,78541.67,78325.0,75107.14,75991.67,77825.0,80566.67,81366.67,85116.67,90025.0,93891.67,97766.67,82410.32
4,California,227391.67,208266.67,187692.86,179925.0,220233.33,261791.67,288550.0,318725.0,347158.33,378983.33,387183.33,267653.97
5,Colorado,134508.33,131616.67,125150.0,127150.0,135208.33,146150.0,164475.0,187825.0,213566.67,233558.33,246533.33,163994.44
6,Connecticut,125525.0,119800.0,107928.57,96150.0,92683.33,92200.0,89316.67,88275.0,94008.33,98050.0,100966.67,100296.03
7,Delaware,,,,,,,,,,,,
8,District of Columbia,315733.33,320958.33,319235.71,324575.0,341791.67,359208.33,368450.0,375416.67,386391.67,387100.0,389866.67,351757.94
9,Florida,74658.33,55641.67,49550.0,52808.33,61591.67,72291.67,80741.67,91233.33,105750.0,116933.33,122216.67,78286.51
10,Georgia,127216.67,111225.0,89457.14,72283.33,83616.67,100216.67,115041.67,126333.33,143458.33,160633.33,172566.67,115605.56
11,Hawaii,278741.67,277316.67,275450.0,278058.33,298741.67,321358.33,331708.33,344733.33,360758.33,368800.0,372783.33,316336.51
12,Idaho,127183.33,118050.0,107785.71,107933.33,110750.0,115475.0,122400.0,134391.67,148625.0,168241.67,185166.67,128834.13
13,Illinois,94358.33,81633.33,73707.14,63375.0,62491.67,65658.33,68066.67,70208.33,79800.0,89275.0,92200.0,75612.7
14,Indiana,63816.67,61175.0,58871.43,56500.0,55450.0,53891.67,53058.33,56033.33,60591.67,71166.67,76200.0,59842.86
15,Iowa,74683.33,72800.0,70528.57,71525.0,72250.0,74108.33,79208.33,80491.67,86775.0,93100.0,90633.33,78160.32
16,Kansas,49166.67,48133.33,46492.86,44675.0,44833.33,41958.33,42083.33,43183.33,45500.0,49908.33,49950.0,45776.98
17,Kentucky,70216.67,69808.33,67564.29,65200.0,65425.0,68166.67,71716.67,75391.67,83675.0,91983.33,96383.33,73995.24
18,Louisiana,46883.33,46400.0,49371.43,46650.0,47441.67,47166.67,49108.33,55808.33,53183.33,47716.67,44183.33,48783.33
19,Maine,128275.0,132650.0,130200.0,132433.33,137083.33,144891.67,149633.33,156158.33,166958.33,177333.33,186033.33,147438.89
20,Maryland,,,,,,,,,,,,
21,Massachusetts,199616.67,197741.67,189557.14,189958.33,204925.0,222491.67,234533.33,252075.0,277816.67,307675.0,318700.0,231911.11
22,Michigan,71700.0,62950.0,56850.0,57075.0,63466.67,72033.33,78600.0,86516.67,95416.67,105966.67,114733.33,76885.71
23,Minnesota,112083.33,105433.33,94050.0,86908.33,95091.67,106741.67,113475.0,123308.33,135941.67,147300.0,153950.0,113901.59
24,Mississippi,73725.0,80358.33,78171.43,65683.33,62266.67,57816.67,54958.33,63283.33,66733.33,74475.0,77416.67,68153.17
25,Missouri,75141.67,72591.67,68128.57,64375.0,63633.33,63641.67,66125.0,68900.0,74491.67,81350.0,83400.0,70433.33
26,Montana,120691.67,117583.33,112664.29,112175.0,114325.0,117150.0,122316.67,129083.33,134750.0,145875.0,153916.67,124113.49
27,Nebraska,70366.67,68858.33,67628.57,66283.33,68716.67,70891.67,74008.33,77633.33,84966.67,91100.0,94833.33,75015.87
28,Nevada,83341.67,58750.0,47157.14,48200.0,61558.33,71166.67,77908.33,86633.33,100275.0,128341.67,140450.0,79315.87
29,New Hampshire,115566.67,110875.0,103000.0,98841.67,99775.0,103650.0,107383.33,110250.0,120291.67,133125.0,139916.67,111615.87
30,New Jersey,239691.67,226941.67,207671.43,190950.0,194325.0,201000.0,206233.33,213933.33,234300.0,252108.33,259750.0,218575.4
31,New Mexico,142141.67,134250.0,125571.43,117650.0,119675.0,122733.33,123166.67,130033.33,132625.0,142583.33,148983.33,129926.19
32,New York,111816.67,110375.0,106221.43,103033.33,105391.67,108358.33,109850.0,111283.33,118333.33,126966.67,132783.33,112149.21
33,North Carolina,96300.0,90900.0,83678.57,80358.33,79575.0,81908.33,85325.0,91050.0,98450.0,107541.67,115666.67,90703.97
34,North Dakota,81641.67,80658.33,84750.0,93550.0,103341.67,113708.33,124733.33,126758.33,128775.0,135250.0,128133.33,108357.94
35,Ohio,61316.67,59283.33,53942.86,50650.0,51416.67,53491.67,56400.0,58675.0,63900.0,70558.33,73116.67,58630.16
36,Oklahoma,30316.67,30425.0,30557.14,29808.33,29850.0,30075.0,31658.33,34241.67,38233.33,44450.0,45016.67,33534.13
37,Oregon,166175.0,153816.67,139050.0,134133.33,146208.33,159166.67,176116.67,198550.0,222716.67,242858.33,251416.67,177455.56
38,Pennsylvania,101108.33,98466.67,90692.86,85650.0,85558.33,86300.0,89008.33,91266.67,98508.33,107633.33,109466.67,94131.75
39,Rhode Island,159558.33,149891.67,137664.29,126441.67,127750.0,136791.67,141275.0,150158.33,162791.67,178125.0,183916.67,148663.49
40,South Carolina,150666.67,141533.33,128614.29,121950.0,125058.33,129566.67,140341.67,155591.67,165641.67,179000.0,186400.0,145673.81
41,South Dakota,89750.0,86650.0,83600.0,80008.33,81000.0,83683.33,85825.0,94941.67,98525.0,103166.67,109366.67,89675.4
42,Tennessee,111166.67,107508.33,97092.86,97791.67,100916.67,109491.67,123250.0,137775.0,146366.67,158850.0,167183.33,121240.48
43,Texas,64616.67,62700.0,62664.29,65008.33,65008.33,64408.33,69300.0,77158.33,86050.0,91700.0,95333.33,72033.33
44,Utah,150483.33,142016.67,127364.29,126166.67,135666.67,139383.33,148950.0,162858.33,184216.67,208233.33,228400.0,156024.6
45,Vermont,,,,,,,,,,,,
46,Virginia,183716.67,177016.67,167821.43,168175.0,179566.67,185258.33,187658.33,188816.67,193200.0,201183.33,206733.33,184264.29
47,Washington,184941.67,169008.33,150585.71,138316.67,146975.0,157966.67,174525.0,199366.67,232900.0,268008.33,280800.0,186788.89
48,West Virginia,41083.33,40383.33,39364.29,39575.0,40416.67,41083.33,42908.33,45675.0,47566.67,51716.67,51783.33,43386.51
49,Wisconsin,109491.67,104175.0,92207.14,84008.33,83275.0,87916.67,87850.0,94033.33,101333.33,113108.33,120566.67,96824.6
50,Wyoming,128925.0,126775.0,124907.14,127175.0,130550.0,136991.67,138725.0,141408.33,142941.67,149008.33,151200.0,135512.7
