,RegionName,Avg_1br,Avg_2br,Avg_3br,Avg_4br,Avg_5br,Avg_Bottomtier,Avg_toptier,Avg_All_homes
0,Alabama,85788.1,61854.76,116778.68,236401.19,351773.7,41552.49,222701.08,111609.85
1,Alaska,136861.11,201549.46,303362.66,401218.4,491433.87,191388.42,432618.61,291648.05
2,Arizona,87441.27,101962.12,132532.36,204174.24,150177.16,112514.72,335204.33,187369.7
3,Arkansas,82410.32,88425.65,135071.0,233809.31,339248.27,45207.14,192850.76,105376.84
4,California,267653.97,339362.88,393308.44,504654.0,682178.57,214574.24,799746.86,415063.1
5,Colorado,163994.44,209787.34,268524.46,358580.95,424981.6,168117.64,458781.82,272647.4
6,Connecticut,100296.03,165355.95,225477.92,340364.39,523045.13,141609.85,401068.07,230409.74
7,Delaware,0.0,149212.55,200413.42,303036.8,382733.55,0.0,349701.19,213671.65
8,District of Columbia,351757.94,462750.0,460616.02,694837.12,1246640.48,252089.5,833321.43,449429.0
9,Florida,78286.51,116406.49,168620.24,258068.18,390980.63,83702.06,329073.59,167985.17
10,Georgia,115605.56,93574.89,127891.56,226133.44,339968.4,68996.75,283114.72,142457.03
11,Hawaii,316336.51,395041.13,527537.23,691161.26,796137.88,266106.49,822979.11,497978.79
12,Idaho,128834.13,139143.61,177908.55,219164.94,255362.12,121965.04,302225.76,183783.87
13,Illinois,75612.7,117205.3,164214.18,277751.84,418220.56,70689.07,306808.87,157008.12
14,Indiana,59842.86,72909.74,119334.96,173653.9,205768.83,60707.9,200220.89,115432.14
15,Iowa,78160.32,92712.23,136813.2,172940.15,210321.32,65119.59,211928.35,122062.66
16,Kansas,45776.98,64030.95,123007.03,208359.09,246403.68,55935.61,225019.16,119317.86
17,Kentucky,73995.24,86572.62,125420.89,205356.71,253390.04,60676.84,217661.15,121211.8
18,Louisiana,48783.33,47645.13,0.0,218979.33,315826.19,0.0,232337.77,129792.32
19,Maine,147438.89,175424.89,203699.24,249182.58,307138.85,107399.35,327822.51,190475.11
20,Maryland,0.0,0.0,0.0,0.0,0.0,135422.19,451032.58,254022.29
21,Massachusetts,231911.11,251620.78,313921.54,450217.86,620869.7,194357.58,575894.26,328017.42
22,Michigan,76885.71,99695.35,138551.95,237497.4,255205.74,39210.93,218845.35,110281.93
23,Minnesota,113901.59,151575.97,190892.97,244662.23,312108.55,107368.83,306602.06,184208.12
24,Mississippi,68153.17,69245.02,118688.2,203026.73,203937.99,57558.12,194264.72,110699.46
25,Missouri,70433.33,85365.26,139712.66,242375.54,285515.26,70491.88,239052.81,134479.22
26,Montana,124113.49,150417.42,207532.14,230930.41,280030.95,124075.32,312462.45,197108.23
27,Nebraska,75015.87,97847.51,139869.05,205604.33,168268.61,68734.74,222565.69,132694.37
28,Nevada,79315.87,129500.22,187670.56,245447.19,329162.66,116901.95,324965.26,197343.29
29,New Hampshire,111615.87,171999.03,235609.31,311287.55,343377.49,142294.37,350526.41,225785.93
30,New Jersey,218575.4,266740.26,334974.13,481560.39,679183.98,156402.49,515292.64,286544.16
31,New Mexico,129926.19,141548.81,180879.87,266168.07,344178.57,106375.32,293163.42,169027.38
32,New York,112149.21,124046.21,146377.27,228803.46,292112.34,101367.21,539900.22,256029.87
33,North Carolina,90703.97,90859.31,143147.4,250408.23,364870.24,73431.6,289713.53,150655.3
34,North Dakota,108357.94,161854.0,190309.96,227260.93,275279.55,88767.53,269744.05,172082.68
35,Ohio,58630.16,76397.29,114325.76,192866.13,217867.86,55411.8,211621.54,115440.69
36,Oklahoma,33534.13,42823.48,107225.43,193515.8,295665.91,39121.0,192824.24,102648.38
37,Oregon,177455.56,206455.3,248578.46,338482.9,392291.56,161634.74,407867.32,254953.14
38,Pennsylvania,94131.75,117410.28,150199.03,276194.81,288604.55,66096.75,286796.32,151452.81
39,Rhode Island,148663.49,192186.15,234408.98,331515.48,434294.48,159721.86,392214.83,233597.94
40,South Carolina,145673.81,88392.1,142048.7,233938.85,344881.93,55287.01,269483.01,136415.48
41,South Dakota,89675.4,133520.35,159744.26,190749.89,0.0,94661.69,246719.05,156267.1
42,Tennessee,121240.48,93225.11,137847.94,239189.18,364494.48,55769.81,248604.33,129713.42
43,Texas,72033.33,83001.62,136203.25,228262.45,364493.94,78309.2,282709.74,149682.68
44,Utah,156024.6,183165.15,235865.15,272766.77,339018.07,169281.82,389233.44,244371.65
45,Vermont,0.0,0.0,0.0,0.0,0.0,119160.28,298267.86,185613.53
46,Virginia,184264.29,150195.35,199256.17,339637.66,495803.35,117356.28,455760.61,227421.43
47,Washington,186788.89,224370.89,278238.42,371464.07,446891.13,171190.37,510338.85,283076.3
48,West Virginia,43386.51,55697.51,96714.29,149350.97,179623.59,35984.74,175515.91,86181.28
49,Wisconsin,96824.6,119069.7,164566.45,209710.93,231973.27,87191.45,259440.04,155805.3
50,Wyoming,135512.7,156332.47,211415.48,239809.85,278885.61,135967.86,297000.54,197623.92
