,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_SingleFam
0,Alabama,104608.33,100766.67,96400.0,96600.0,105783.33,110175.0,112625.0,116525.0,119783.33,126150.0,130983.33,110945.45
1,Alaska,292491.67,295975.0,297685.71,297983.33,306241.67,310433.33,320716.67,322683.33,323858.33,327966.67,327883.33,311265.37
2,Arizona,174216.67,156550.0,142092.86,150958.33,174341.67,188341.67,199858.33,216866.67,233316.67,251091.67,262650.0,195480.41
3,Arkansas,98925.0,97283.33,94614.29,93975.0,97158.33,99866.67,103433.33,109416.67,115508.33,121600.0,126650.0,105311.9
4,California,346566.67,336833.33,317592.86,316850.0,370483.33,414208.33,441616.67,474125.0,513191.67,548958.33,558133.33,421687.23
5,Colorado,224375.0,220941.67,213278.57,219316.67,235900.0,255225.0,286733.33,321008.33,351175.0,375516.67,390350.0,281256.39
6,Connecticut,257950.0,251200.0,237971.43,226991.67,229216.67,233150.0,233283.33,235866.67,243516.67,253675.0,257050.0,241806.49
7,Delaware,221608.33,222316.67,220707.14,188508.33,189883.33,197933.33,204208.33,215600.0,225291.67,236808.33,238750.0,214692.32
8,District of Columbia,375083.33,373950.0,373335.71,392408.33,443800.0,496558.33,547133.33,598341.67,651333.33,686725.0,690583.33,511750.22
9,Florida,160025.0,145166.67,133728.57,132700.0,143775.0,159183.33,173950.0,193375.0,217383.33,236008.33,247916.67,176655.63
10,Georgia,141575.0,131875.0,120214.29,111533.33,118941.67,130833.33,139866.67,149775.0,161433.33,176516.67,189383.33,142904.33
11,Hawaii,514575.0,505208.33,492942.86,501591.67,540525.0,583191.67,613866.67,652400.0,687583.33,724816.67,732250.0,595359.2
12,Idaho,171675.0,158241.67,145335.71,143833.33,155575.0,168483.33,177666.67,191358.33,209700.0,236616.67,264550.0,183912.34
13,Illinois,168016.67,156350.0,144450.0,136050.0,140116.67,147000.0,153133.33,159458.33,167375.0,176233.33,182366.67,157322.73
14,Indiana,110350.0,107875.0,106050.0,104675.0,104575.0,106158.33,110200.0,116425.0,124325.0,135291.67,144733.33,115514.39
15,Iowa,111808.33,112491.67,111007.14,112300.0,115566.67,118908.33,123800.0,128558.33,134841.67,140225.0,145216.67,123156.71
16,Kansas,116058.33,114816.67,111071.43,108875.0,109666.67,112691.67,115875.0,121541.67,129108.33,135375.0,140566.67,119604.22
17,Kentucky,113358.33,114500.0,112507.14,110366.67,111933.33,114025.0,117633.33,123625.0,131941.67,139858.33,146116.67,121442.32
18,Louisiana,125375.0,124791.67,121221.43,118458.33,120608.33,123433.33,127166.67,133683.33,140316.67,145300.0,146483.33,129712.55
19,Maine,172375.0,176100.0,170507.14,170741.67,175950.0,181316.67,185750.0,194216.67,208691.67,223650.0,233283.33,190234.74
20,Maryland,267175.0,250258.33,235492.86,230866.67,242091.67,252183.33,258483.33,266841.67,279883.33,294625.0,301366.67,261751.62
21,Massachusetts,304566.67,303725.0,292635.71,288566.67,304891.67,322516.67,335425.0,353625.0,382166.67,405266.67,417233.33,337329.0
22,Michigan,96058.33,87525.0,82250.0,82308.33,90333.33,99991.67,109358.33,118875.0,129666.67,140325.0,148500.0,107744.7
23,Minnesota,173108.33,166466.67,154471.43,153058.33,165633.33,177083.33,185950.0,198975.0,216075.0,230141.67,240650.0,187419.37
24,Mississippi,109750.0,115025.0,110578.57,103841.67,100875.0,97866.67,103566.67,110550.0,115425.0,121875.0,127966.67,110665.48
25,Missouri,132250.0,128883.33,124500.0,121500.0,123666.67,126183.33,130075.0,136400.0,143783.33,154541.67,162366.67,134922.73
26,Montana,182775.0,182875.0,179571.43,180816.67,187141.67,191441.67,195850.0,204958.33,211566.67,228183.33,238966.67,198558.77
27,Nebraska,118416.67,118991.67,117228.57,117925.0,121850.0,125433.33,131750.0,138416.67,147491.67,157833.33,165716.67,132823.05
28,Nevada,179333.33,156708.33,141321.43,140366.67,169033.33,195258.33,213633.33,231683.33,255458.33,287125.0,305183.33,206827.71
29,New Hampshire,225058.33,220066.67,208585.71,205866.67,213175.0,221008.33,229533.33,240433.33,258583.33,277033.33,289016.67,235305.52
30,New Jersey,315383.33,300841.67,281200.0,264841.67,266841.67,276808.33,279816.67,284983.33,302658.33,326258.33,336866.67,294227.27
31,New Mexico,177341.67,172666.67,162500.0,155175.0,154558.33,156758.33,161500.0,167525.0,175116.67,187391.67,195950.0,169680.3
32,New York,245500.0,236741.67,225964.29,218900.0,221375.0,227608.33,231925.0,241000.0,252741.67,264691.67,278400.0,240440.69
33,North Carolina,147450.0,143525.0,137900.0,136000.0,137750.0,141558.33,145900.0,153208.33,164125.0,175808.33,186400.0,151784.09
34,North Dakota,136166.67,139208.33,144192.86,148433.33,163900.0,176266.67,189950.0,199233.33,206033.33,206975.0,209383.33,174522.08
35,Ohio,111775.0,109516.67,104757.14,103108.33,105200.0,108916.67,113116.67,118325.0,126041.67,134141.67,140750.0,115968.07
36,Oklahoma,96383.33,97000.0,94714.29,93516.67,94200.0,95758.33,98783.33,106350.0,114591.67,120483.33,124566.67,103304.33
37,Oregon,229741.67,216150.0,198171.43,195875.0,213208.33,232433.33,253850.0,285683.33,316841.67,337916.67,350383.33,257295.89
38,Pennsylvania,149433.33,147691.67,141985.71,138400.0,140116.67,142666.67,145933.33,150575.0,158383.33,168283.33,173483.33,150632.03
39,Rhode Island,232516.67,229633.33,216878.57,208091.67,213491.67,220833.33,226450.0,239950.0,259283.33,279250.0,287783.33,237651.08
40,South Carolina,133000.0,129991.67,123871.43,121808.33,123775.0,126716.67,130125.0,139008.33,149850.0,160125.0,167883.33,136923.16
41,South Dakota,140666.67,140266.67,139307.14,138691.67,145325.0,148233.33,157100.0,165633.33,172441.67,181966.67,189650.0,156298.38
42,Tennessee,117525.0,115650.0,112007.14,110216.67,112900.0,118100.0,124383.33,133141.67,145366.67,157425.0,166366.67,128462.01
43,Texas,132008.33,130941.67,128321.43,127575.0,131283.33,138025.0,147241.67,160400.0,175525.0,187950.0,197750.0,150638.31
44,Utah,231866.67,214841.67,200207.14,197458.33,213150.0,229208.33,240808.33,259441.67,284000.0,319566.67,346466.67,248819.59
45,Vermont,181400.0,180291.67,178735.71,179183.33,180175.0,182866.67,183750.0,185441.67,191791.67,196841.67,202966.67,185767.64
46,Virginia,223933.33,216550.0,207471.43,206600.0,213733.33,219816.67,224900.0,232441.67,243275.0,252591.67,260333.33,227422.4
47,Washington,265991.67,249941.67,230171.43,223558.33,240166.67,256241.67,277850.0,308508.33,345358.33,375041.67,393500.0,287848.16
48,West Virginia,80875.0,80066.67,79492.86,79125.0,81400.0,83050.0,86608.33,89316.67,92158.33,95000.0,97350.0,85858.44
49,Wisconsin,152566.67,148633.33,142057.14,140208.33,142991.67,148725.0,151816.67,159750.0,170166.67,180083.33,189183.33,156925.65
50,Wyoming,182600.0,182625.0,182057.14,184283.33,189116.67,192783.33,201408.33,208333.33,210916.67,220441.67,227200.0,198342.32
