RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
9,Alabama,22,161700,161200,160700,160200,159700,159400,159000,158600,158000,157600,157400,157400,157500,157800,158200,158500,158600,158700,158600,158500,158400,158300,158200,158000,157900,157900,158000,158300,158800,159500,160200,161100,162000,162900,163700,164500,165200,165800,166400,167000,167500,168000,168600,169200,170000,170700,171500,172300,173100,173900,174700,175400,176100,176800,177500,178200,178900,179600,180400,181000,181400,181600,181600,181500,181400,181300,181300,181400,181500,181700,182000,182300,182400,182500,182600,182700,183000,183500,184000,184700,185400,185800,185900,186000,186400,187000,187900,188900,190200,191400,192600,193500,194400,195200,196100,196900,197800,198800,199900,201000,202100,203100,204200,205400,206800,208300,209900,211800,213800,216100,218500,221000,223400,225700,228000,230100,232300,234400,236500,238700,240700,242600,244200,245700,247200,248600,249800,250800,251700,252500,253100,253800,254600,255200,255600,255900,255900,255800,255500,255100,254900,254700,254500,254400,254200,253500,252500,251200,249900,248700,247500,246400,245400,244500,243500,242400,241400,240100,238800,237400,236300,235500,234900,234300,233700,233300,233700,233200,231300,230200,230300,230000,229000,227700,226800,225700,224400,223400,221800,220400,219900,219300,218000,217100,217000,217100,217000,217200,217100,216900,216700,216800,216700,216600,216500,216500,216800,217100,217300,217700,218000,218300,218400,218900,220000,221000,221900,223000,224100,224700,224900,225100,225600,226200,226800,227200,227400,227900,228800,229600,230100,230200,230300,230800,231400,231500,231600,231800,232100,232500,233000,233400,234100,235400,236500,236800,237300,238100,238800,239600,240700,241300,241800,242200,242600,242800,243100,243400,243300,242700,242100,242000,242600,243200,243200,243200,243600,244000,244000,244500,245200,246700,249100,251800,253500,255100,256500,257900,258900,260200,262200,264200,265800,267600,269100,269300,268900,269200,270100
54,Alaska,46,152400,153300,154300,155300,156400,157400,158300,159200,160000,160700,161200,161500,161800,161900,162100,162200,162300,162200,161900,161500,160900,160300,159700,159200,159100,159300,159800,160600,161600,162700,163700,164600,165500,166300,166900,167300,167700,168000,168400,168600,168900,169300,169900,170500,171400,172400,173300,174000,174500,174900,175400,176000,176800,178200,180300,183400,187700,192900,198800,205000,211500,217600,223300,228200,232300,235700,238400,240700,242600,244200,245500,246600,247500,248200,248800,249400,249900,250400,251000,251600,252100,252700,253500,254400,255400,256700,258300,260100,262000,263800,265500,267000,268200,269300,270500,271700,273000,274500,276100,278000,280100,282300,284500,286900,289200,291500,293800,296200,298700,301400,304600,308100,311900,315700,319400,322900,326000,328800,331200,333500,335600,337500,339300,341000,342700,344300,345800,347100,348400,349700,351000,352200,353100,353900,354400,354500,354500,354800,355300,356300,357500,358900,360500,362300,364000,365600,367000,368000,368600,369200,369800,370400,371100,371900,372900,373900,374700,375700,376500,376900,376900,377100,377300,377400,377600,377800,377800,378000,378100,377700,377200,377600,378400,378400,378100,378300,378800,379400,379500,378500,377900,378300,378900,379200,380000,381300,382700,383500,384200,383900,383600,384400,385400,386000,387500,389200,390600,391900,393300,394300,395300,396500,397200,397300,397600,398100,398700,399100,398900,399100,399800,400300,400000,400300,401000,401700,401600,400400,398400,398100,399000,399900,400200,400800,402100,404400,407000,409500,411700,413600,415200,415900,416800,418200,420200,421800,423000,424700,427100,428400,429100,429200,429200,429400,429600,428500,426300,423900,422700,422500,422100,421000,419900,419100,419200,419500,418900,417700,417600,418400,420100,421800,422300,420900,419300,419200,420300,420300,419900,419300,419000,420500,418300,411200,405600,406300,409600,413300,414700
43,Arizona,16,108500,108900,109200,109300,109500,109700,109900,110200,110700,111300,111900,112500,113100,113800,114500,115200,116000,116700,117500,118100,118800,119500,120200,120900,121500,122200,122800,123400,124000,124700,125500,126200,127100,127900,128700,129200,129500,129600,129500,129400,129200,129100,129100,129200,129400,129700,130000,130100,130100,129800,129300,128600,127900,127200,126900,126700,126900,127400,128300,129300,130400,131400,132200,132900,133400,133800,134200,134600,135000,135600,136300,136900,137400,137800,137900,138000,138200,138600,139300,140600,142200,143400,143800,144100,144500,144900,145500,146300,147300,148400,149400,150400,151100,151600,151800,151500,151000,151100,152600,155400,159000,163100,167300,171400,175400,179600,184500,190800,199000,208400,218300,227600,235700,242400,247800,252300,256300,260200,264100,268200,272000,275000,277200,278500,279200,279300,279100,278600,278000,277200,276000,274600,273100,271600,270400,269500,268800,268000,267000,265600,263900,261900,259400,256900,254400,251600,248500,245500,242600,239600,236600,233500,230600,227700,224800,222100,219900,217800,215400,212300,209000,206700,205600,205200,205800,206100,205700,204600,203900,202800,200500,197500,195100,192800,190900,188800,186400,185200,185300,183400,179500,176100,174100,172700,172100,171800,171500,171100,171200,171300,171800,173100,174300,174900,175500,176700,177600,178100,178300,179200,179800,181100,182700,184800,186400,187800,188700,189500,189800,190100,190800,192500,193700,194000,193400,193200,193700,194000,194300,195000,196000,196800,197500,197800,198200,198000,197600,197300,197600,198200,199400,200700,202000,202500,202700,202800,203200,202800,202500,202900,204400,206500,208700,210100,211100,211900,212700,213100,213400,214200,215400,216100,216800,217900,219100,220000,221500,223600,225100,226400,227200,226900,226200,227000,228000,228500,228800,229700,230800,232000,233300,233800,233400,233900,235500,237200,238900,240400,241000
14,Arkansas,31,146400,146500,146400,146100,145700,145300,144800,144200,143700,143600,143700,143700,143400,142900,142100,141100,140000,138700,137500,136000,134600,133600,133000,132100,131100,130100,128900,127600,126400,125200,124300,123300,122600,122500,122900,123300,123900,124300,124700,125100,125700,126300,127200,128000,129100,130800,132900,135100,137200,139100,140900,142400,143800,145200,146400,147400,148400,149800,151800,153600,155300,156400,157200,157600,157900,158000,158200,158100,158200,159000,160700,162400,164000,165100,166000,166500,166900,167300,167400,170000,173900,174500,171100,168100,166100,165900,167000,169200,171800,174600,177100,178500,178800,178800,179000,179400,180400,182000,184300,186900,189600,192500,195400,197900,200100,202500,205200,207500,209500,211100,212200,213100,214100,215400,217000,218700,220300,222200,224100,225500,226400,227000,227800,229100,230600,232100,233700,235000,236300,238100,240400,243100,246000,248000,248800,248700,248000,246900,245900,244800,243900,243200,242700,242300,242100,241400,239900,238500,237300,236400,235500,234500,233500,232700,231800,231200,231000,230400,229600,229400,229900,230300,230600,230600,230200,229900,230500,228500,224200,222700,223500,222600,221200,220000,218700,217500,217100,216400,216400,217600,219900,220900,220700,220300,219700,219200,218700,218800,219100,219600,219400,220100,220900,220900,220600,221100,220900,219900,219200,218300,217500,217100,217000,217400,217700,217900,218700,220400,222100,223200,224400,225300,226200,226400,226300,225800,225700,226000,225700,224900,224900,225000,225000,225000,224100,223300,222900,222000,221400,222100,223300,224700,226400,228200,229500,231300,233900,235800,236400,237300,239000,240200,240400,240600,240500,240000,239100,238100,237900,238800,239400,239600,240000,240600,242000,243000,243500,244600,245700,246400,246300,247200,249700,252000,252500,253000,254100,255100,256200,258700,262000,264800,266800,268400,269700,271400,272700,271800,269500
21,California,1,199000,199000,198900,198700,198700,198700,198900,199200,199800,200600,201200,201600,202100,202600,203300,204000,204900,205900,207000,208400,210100,212000,213700,215200,216700,218300,219800,221300,222800,224200,225600,227100,228800,230700,232500,234200,236000,237900,239900,242100,244500,247000,249700,252600,255900,259500,262800,265900,268900,271800,274700,277400,280000,282500,285000,287500,290300,293200,296200,299100,302000,304900,307700,310400,313200,316000,319000,322000,325200,328600,332200,335700,339400,343300,347500,352000,356800,361700,366700,371900,377000,381800,386500,391200,396200,401300,406600,412200,418200,424500,431200,438200,445500,453300,461600,470800,480900,491700,503100,514300,524900,534800,544100,552800,561200,569300,577100,584900,592500,599600,606300,612500,618000,622900,627300,630900,634100,636900,639300,641500,643200,644300,644500,643300,640600,637300,634000,630500,627400,624600,621300,617300,612700,607600,601900,595100,587000,578600,570000,561200,552000,542700,532400,521400,509700,498300,487600,478500,471200,465200,459500,453900,448800,444000,438800,433000,426700,420200,414900,412300,411700,412100,413200,414400,415300,416300,417000,416700,416800,417700,417500,415600,413700,411300,408700,406000,402800,399500,397000,395000,392700,390300,388200,386400,384500,382100,379900,378500,377600,376700,376700,378200,380700,383400,386100,388800,391600,394900,398800,403600,408500,413100,418500,425800,434100,442600,451100,458900,465100,470300,474100,477100,480000,483000,486000,489000,491900,494500,497200,499500,501500,503800,506600,509000,511300,514300,518000,521100,523800,526700,530200,533000,535500,538600,541700,544800,548200,551600,553800,555700,558300,560700,562600,565400,569100,572800,576700,581000,585100,588500,591200,593800,597100,600200,603300,606300,609600,612600,615700,619400,623300,628100,633000,635400,636300,637700,639200,640500,642100,643400,645200,647100,648500,648900,648400,647200,645800,644900,644300
47,Colorado,21,170700,170100,169600,169300,169300,169700,170300,171000,171500,171900,172100,172300,172700,173500,174600,175800,177200,178400,179500,180300,180700,180900,181000,181100,181500,182400,183600,185300,187200,189100,191000,192800,194600,196300,198000,199700,201400,203300,205300,207300,209400,211600,213900,216300,218800,221500,224400,227200,230100,232900,235600,238100,240500,242700,245000,247400,250000,252500,255000,257400,259600,261400,263000,264300,265300,266200,267000,267800,268600,269600,270500,271400,272100,272600,272900,273100,273300,273500,273800,274100,274400,274800,275200,275900,276600,277100,277500,277800,278100,278400,278900,279500,280100,280800,281400,281900,282400,282900,283700,284600,285700,286900,288200,289500,290700,291900,292900,293800,294900,296000,297100,298300,299500,300700,301900,303100,304400,305600,306700,307700,308700,309600,310400,311200,311900,312500,312900,313100,313400,313800,314100,314600,315300,315800,316000,316100,315900,315400,314600,313400,312200,310900,309700,308600,307700,306800,306000,305000,304000,303100,302300,301700,301400,301300,301100,300600,299800,298500,296900,296000,295600,295300,294900,294600,294100,294200,295200,294800,292800,291900,291700,290800,289400,288300,287600,287000,285800,284000,282200,281300,280900,280500,279900,279500,279200,279200,279200,279900,281100,281900,282400,283300,284900,286800,288600,290300,292000,293700,295300,296600,297900,299100,300200,302000,304300,306500,308900,312000,314900,317100,319200,321200,322900,324300,325600,327100,329100,331300,333600,336000,338600,341400,344000,346700,349900,353000,355800,358800,362400,366000,369800,373300,376600,379500,382100,384400,386700,389100,391800,394700,397600,400600,403300,405900,408300,410200,412200,414700,417400,420300,423700,426700,429300,431500,433100,434200,435400,436800,438400,440100,442100,445500,449300,452100,453600,455100,456600,457900,459100,461200,464600,467600,469800,471900,473900,475100,475300,474800,473900
44,Connecticut,28,190600,191100,191500,191800,192100,192400,192600,193000,193400,194100,194600,194800,195000,195200,195500,195800,196200,196700,197400,198200,199100,200200,201000,201700,202400,203200,204200,205400,206800,208300,209900,211600,213400,215200,216800,218200,219700,221300,222900,224700,226600,228500,230500,232400,234600,236900,239200,241400,243500,245600,247500,249300,251000,252600,254300,255900,257800,260000,262200,264400,266700,268900,271200,273600,275900,278200,280500,282600,284700,286800,288800,290800,292700,294800,297000,299400,302000,304900,307900,311300,314700,317900,320800,323700,326600,329500,332200,334900,337300,339600,341900,344400,347100,350100,353200,356500,359900,363500,367200,371000,374700,378400,382100,385600,388800,391900,394700,397600,400500,403200,405800,408300,410500,412300,413900,415100,416000,416500,416900,417100,417200,417000,416700,416100,415200,414100,412900,411800,411000,410500,410100,409600,409000,408100,406900,405600,404300,402900,401300,399400,397300,395000,392600,390300,388200,386300,384100,381600,378800,376100,373700,371600,369700,367900,365900,363800,361300,358400,355700,354200,354000,354300,354700,355300,355800,356500,357300,356600,355200,354500,353600,351300,349000,347800,346000,343200,341000,339900,338800,338200,338000,337500,337300,336900,336000,334400,333500,332400,330200,327300,325700,325100,324200,323300,323200,323800,324100,324000,323800,324400,325300,325800,325700,326000,327400,328800,329800,331100,332000,332200,332300,332600,333000,333300,333400,333500,333200,333000,333100,332800,332200,331600,331700,332500,333200,333300,332800,332100,332100,332800,333100,333300,333600,333700,333100,332300,332100,332300,332500,332600,332700,332400,332400,332700,332800,333000,333500,334000,334600,335100,335600,336400,337400,337600,337200,337900,340200,342900,344800,346000,346700,347800,349100,349900,350100,350600,351300,351400,351500,351800,351900,351600,351800,352600,353700,354300,354500,355000,355200
30,Delaware,44,156300,156700,157200,157700,158100,158400,158600,158800,159000,159400,159800,160000,160100,160300,160300,160500,160600,160800,161100,161500,162400,163500,164600,165600,166400,167100,167700,168200,168600,169100,169400,169800,170300,170900,171500,172000,172400,172900,173500,174000,174400,174700,174900,175200,175800,176600,177600,178700,179900,181100,182300,183500,184500,185400,186300,187400,188700,190300,191900,193400,194900,196300,197800,199200,200600,201900,203100,204300,205800,207500,209300,211000,212400,213800,215200,216500,217800,219000,220300,221800,224000,226600,229500,232500,235400,238100,240800,243400,245900,247900,249800,251700,254000,256600,259600,262800,266000,269200,272300,276000,280900,287900,296200,303900,309000,310800,310400,309600,309700,311100,313300,316000,318600,321000,323000,324900,327300,330000,332900,335800,338300,340200,341500,342300,342500,342000,341200,340200,339700,339700,339700,339900,340300,340800,341100,341400,341300,340800,339600,338000,336500,335300,334300,333700,333200,332500,331400,329900,328000,325800,323700,321700,320200,319100,317800,316200,314400,312200,310000,308300,307500,307100,306800,306800,306700,307000,307900,307100,304800,303300,303200,302600,300700,298100,296400,295300,293500,291100,289600,289000,288300,287000,285600,284300,283100,281400,279600,278100,277000,275800,274600,274600,275500,276000,275700,275100,274700,275000,275400,275900,276200,276700,277600,278900,279000,278800,279200,280300,281500,283300,284200,283900,283400,283300,283300,283800,285300,287000,287900,288200,288600,289100,289400,289200,289100,290200,290900,291100,291900,293700,295000,296300,297900,299900,301100,300700,300100,300700,302100,304000,306000,307800,309900,311500,311800,312000,312100,311000,309400,308900,309700,310500,311100,311800,311300,311300,313200,314600,318500,329200,342100,346700,344100,339500,335900,333100,332800,333900,334400,333700,332700,332000,332200,333600,335600,336900,337000,336500,336000
16,District of Columbia,48,152200,152700,153200,153800,154500,155500,156700,158100,159900,161900,163700,165400,166700,167700,168500,169000,169400,169500,169700,169800,170200,170700,171300,172000,172900,174300,176000,178200,180600,183100,185800,188500,191200,193700,195900,197600,198800,199700,200200,200400,200300,200200,200100,200300,200800,201800,203100,204600,206400,208600,211200,214200,217400,221100,225100,229600,234500,239600,244800,249900,255000,260000,265200,270400,275600,280900,286200,291500,297000,302400,307500,312000,315900,319300,322300,324900,327400,330000,332800,335700,338400,340600,343100,346800,351900,357900,364300,370500,376400,382200,388300,395000,402700,411300,420400,430000,440400,451600,463700,476400,489100,501300,512500,522300,530600,537900,544800,551200,557000,562000,567000,572100,577300,581900,585800,588700,591000,593200,595000,596200,596400,596100,595700,595400,595200,594900,594600,594400,594800,596400,599200,601900,603600,604200,603900,602500,600200,597600,595200,592600,589600,586400,583500,579800,575000,570200,566300,562700,559100,555500,551800,547900,544100,541000,538700,535600,531300,526700,522900,520000,518400,518800,520800,523200,526600,529700,530700,533400,539100,543800,545400,546500,546900,547100,546400,547200,549100,550400,548800,545200,542100,541100,541800,543000,543600,544500,545800,546600,547100,549300,553700,558400,562100,566500,571300,576300,582600,588700,594200,599600,603100,604900,607200,611900,619200,626200,631100,637000,643900,649400,654500,661600,668600,673500,676900,680900,685300,689800,693100,695200,696900,699700,702000,702400,702500,705400,711900,718300,723700,730300,739100,746600,753100,759200,765400,770100,774300,777300,779300,781800,785700,790500,795900,800100,801700,802400,806300,811500,816100,819100,821600,824200,827900,831300,832800,833000,834200,836000,836100,836400,838800,844900,853400,860000,861100,861600,864200,868400,871300,874100,879300,886500,892100,894200,896600,897100,891900,884300,880900
36,Florida,4,131200,131300,131500,131700,132000,132300,132700,133100,133500,133900,134300,134500,134800,135100,135500,135900,136200,136600,137000,137500,138000,138500,138900,139100,139200,139300,139500,139800,140300,141000,141700,142600,143400,144200,145000,145600,146200,146900,147600,148300,149100,149900,150800,151700,152800,154000,155200,156300,157300,158300,159300,160300,161400,162500,163700,165000,166400,167900,169300,170700,171900,173000,174100,175100,176100,177100,178100,179100,180100,181200,182200,183200,184200,185400,186700,188000,189300,190900,192500,194300,196100,197700,199300,201100,203100,205300,207700,210200,212700,215200,217800,220400,223100,225900,228800,232000,235500,239300,243300,247700,252300,257100,262000,266900,272100,277500,283100,289100,295800,302700,309800,317000,323800,330300,336300,341900,347400,352500,357200,361800,366300,369800,372200,373600,373800,373100,371900,370300,368600,367100,365200,363100,361100,358500,355000,351100,346700,341900,337000,331800,326600,321200,315400,309600,304100,298400,292400,286800,281500,276400,271500,266700,262100,257800,253200,248500,243800,238900,234200,230900,228800,227300,226200,225600,224500,224100,224900,224000,221000,219200,218800,217100,214800,212900,211300,209700,208000,206200,204600,203700,203400,203200,202900,202900,202900,202900,202900,203200,203700,204000,203900,204400,205300,206200,206900,207800,208600,209300,209900,210600,211600,212800,214200,216000,218000,220100,222300,224500,226900,229200,231300,233200,235100,236500,237900,239600,241600,243200,244600,246200,248000,249500,250500,251500,252500,253300,254300,255900,257800,259600,261300,263100,264700,266100,267500,269000,270500,272100,273400,274900,276600,278500,280200,282000,283700,285900,288800,291700,294000,295700,297200,298700,300300,301700,302700,303700,305100,306200,307300,308300,309400,311300,313900,315900,317500,319200,320900,322400,324000,325600,327500,329500,331700,334200,336100,336600,336600,336600,336700
