RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
9,Alabama,22,240600,239800,239200,238800,238400,238100,237800,237600,237400,237300,237400,237600,237800,237900,237700,237200,236100,234500,232500,230300,227900,225600,223700,222200,221000,220400,220300,220700,221400,222400,223400,224400,225200,225900,226300,226600,226900,227000,227200,227500,227900,228700,229700,231000,232600,234400,236100,237700,239200,240500,241500,242300,243100,243900,244900,246100,247600,249200,251000,252900,254600,256200,257500,258600,259600,260500,261400,262300,263200,264200,265200,266100,267100,267900,268800,269600,270500,271400,272400,273700,275200,276400,277500,278400,279000,279500,280000,280800,281800,282900,284000,285000,285700,286500,287500,288700,290200,292100,294500,297300,300400,303600,306900,310100,313300,316600,319900,323600,327500,331400,334800,337800,340300,342600,344900,347300,349900,352400,354500,356700,359300,361900,364500,367200,369800,372100,374000,375100,375600,375600,374900,374000,373200,372300,371400,371200,371400,372000,372500,373000,373700,374400,375100,376300,378100,379200,379100,378400,377000,375600,374300,373200,372300,371600,370600,369800,369000,367600,365400,363400,361900,360600,359400,358700,357200,356500,358000,356500,350700,346800,346000,344100,341400,338900,337100,335200,334100,332300,329700,328400,329200,329900,330100,330600,330700,330600,330500,329700,327900,325900,323900,323200,323000,322600,321800,321600,321900,321800,320900,320300,320700,321600,322400,322900,323600,324300,324300,324000,324000,324200,324700,325700,327000,328100,329100,329500,329800,330900,333500,336500,339300,341600,343500,344200,344500,345100,345500,345800,346400,347100,347000,346800,347100,348100,349100,349800,350800,352000,353000,354000,355400,356600,357500,358800,360300,362000,363400,364800,365400,364600,363500,363500,364700,366200,367300,367100,366400,365300,364600,364400,365300,367600,371400,375300,377100,377800,378300,379600,380800,382000,383800,386400,389400,392400,394400,396200,397900,398500,398100
54,Alaska,45,160600,161100,161600,162100,162600,163000,163600,164200,164900,165700,166300,166700,167100,167500,167800,168200,168600,169000,169500,170000,170800,171700,172500,173200,174000,174900,175700,176500,177200,177900,178600,179300,180200,181000,181700,182300,182800,183400,184000,184600,185200,185900,186700,187600,188800,190100,191500,192900,194600,196600,198900,201700,205000,208800,213300,218500,224600,231100,237800,244900,252300,259600,266900,274000,280700,287000,292700,298200,303200,307700,311400,314600,317300,319600,321600,323100,324500,325700,327000,327500,327500,328100,329700,331100,332600,334000,335400,336500,337400,338100,338700,339400,340300,341300,342300,343600,344900,346300,348000,350000,352500,355400,358300,361200,364300,367800,371400,375600,380500,385800,391600,397700,403800,409700,415300,420700,425700,430100,433600,436700,439600,442300,444700,446700,448400,449700,450900,452400,454400,456300,457400,457900,457500,456500,455400,454700,454900,455700,456600,457400,458000,458400,458700,459300,460200,461100,461900,462500,463100,463500,463700,463800,464300,464800,465100,465100,465100,465200,464500,462600,460700,459000,457100,455400,454300,453800,453700,453900,454300,455600,457100,458500,458700,459000,459900,460800,460900,461600,462100,461000,460000,460500,461500,461800,461900,462300,463300,463700,464000,464200,465600,468900,471300,471400,472300,474600,476200,477300,477700,478200,479000,479500,479400,479300,479900,480700,480800,479400,478000,478200,478400,476900,474700,473500,474000,475100,475400,473600,472200,475300,480600,482800,484800,489200,494000,496100,496000,494600,494600,496400,498600,499500,499800,501300,503700,505800,507800,511200,516000,519800,522700,526100,528800,530400,530800,530000,528400,527000,526800,527600,527200,525300,524300,524200,524100,523200,521500,521300,522000,522900,525000,527000,527200,525900,524500,523400,523000,522200,523000,524400,525500,527900,526600,520500,516600,519300,522400,523400,522100
43,Arizona,16,89600,90100,90600,91000,91500,91900,92300,92800,93400,94000,94700,95100,95600,96000,96400,96800,97100,97400,97800,98100,98500,99000,99500,99800,100000,100200,100300,100300,100300,100400,100500,100600,100900,101200,101600,101800,101900,102000,102100,102100,102100,102100,102100,102200,102400,102700,103000,103200,103400,103400,103500,103400,103400,103400,103500,103700,104000,104400,104900,105300,105600,105900,106200,106400,106600,106800,107100,107500,108200,109000,109800,110600,111300,111900,112300,112700,113000,113400,113800,114700,115700,116400,116700,117200,117600,118100,118400,118700,118900,119200,119400,119800,120200,120900,121900,123000,124100,125700,128000,130900,134200,137600,141000,144000,147000,150100,153800,158300,164100,170800,178300,186300,194100,201400,207800,213200,217600,221000,223500,225400,226700,227300,227400,227000,226100,225100,223800,222100,220300,218300,216000,213700,211300,209000,206800,204700,202500,200600,198900,197500,196200,195100,193700,192400,191000,189500,187500,185500,183400,181100,178500,175800,173200,170800,168100,165600,163800,162500,161000,159200,157500,156900,157200,158100,159100,159700,159300,158400,157600,156100,152900,149400,147300,145200,142900,140100,137600,136000,136000,134500,131600,129000,127800,126700,125500,124100,123300,123200,123300,123200,124000,125800,126600,126700,127100,127600,127400,127600,127600,127900,128200,128900,130200,132100,133400,134800,136600,139700,142800,145700,147600,148900,150100,150800,149900,149000,148800,148000,146200,143900,141300,139000,138300,138700,139500,139700,139100,138300,137800,138100,139100,140700,142500,144700,146200,146700,146700,146800,147200,148200,149900,151800,153500,155000,156400,156900,156800,156500,155700,154900,154400,154700,156300,158900,160900,161800,162000,162500,163400,164600,165500,165700,165000,164700,165300,166800,168200,169600,171300,172700,173300,173300,173400,174000,175000,175900,176400,176900,177200
14,Arkansas,31,222200,221000,219400,217300,214900,212500,210100,207800,206000,205000,204800,204600,204000,203000,201600,199700,197400,195000,192600,190300,188400,187300,187000,186700,186100,185200,184000,182400,180600,178800,177200,175900,175200,175500,176700,178200,179500,180600,181300,181600,181700,181800,182000,182500,183600,185600,188600,191900,194900,197500,199500,201000,202100,202900,203800,204900,206300,208700,212400,216600,220000,222500,224000,224400,224000,223000,221900,221000,220300,221000,223400,226300,228400,229400,229500,228500,226700,224500,222200,221900,224500,224500,217700,208700,202300,199300,199500,202800,208600,215700,222400,226700,227100,224500,221400,219400,219400,221100,224000,227900,233100,239600,246500,252700,257900,263200,269600,276400,282800,287900,292100,295800,298900,301700,304800,308800,313500,318700,323800,328200,330900,332500,334000,335900,337800,339400,341200,343100,345100,346600,347800,348700,349000,348900,348700,348100,346200,343400,341200,340500,341600,343400,345800,349200,353300,356600,358900,359200,356900,353800,351700,350700,350100,348900,348000,348000,348300,348200,347600,345800,342400,338700,335900,334900,331000,327600,329800,329300,323900,322900,323700,319700,316500,316400,317000,316100,316300,319400,320500,320400,323300,323700,319600,320800,327800,332600,332800,327900,321700,316400,313000,313200,314300,313100,314400,316500,316700,317500,318300,319000,322000,325100,324600,322700,320500,318200,314800,312100,310100,309800,311500,314900,317700,319000,320300,320900,321600,323600,326800,330400,333800,333500,331200,331000,333000,332800,330100,329700,331700,331900,331100,332400,333500,333700,334000,335300,336600,338900,341100,342900,344500,347100,350900,352900,351900,351000,350700,348200,346100,345200,347200,348300,347800,346700,348000,347800,347400,347000,347400,348400,349900,351500,353000,357800,362100,366500,369400,371800,372700,375400,379300,384000,385400,386700,389400,388400,386000,386200,386600
21,California,1,267300,266900,266700,266700,266900,267400,268100,269000,270100,271400,272600,273600,274600,275900,277400,278900,280600,282400,284200,286100,288300,290500,292500,294300,296300,298400,300500,302700,305000,307400,309800,312300,315200,318200,321200,324100,327200,330200,333300,336300,339400,342700,346300,350200,354700,359500,364300,368800,373100,377300,381300,385200,388900,392700,396600,400600,404700,408800,412800,416500,420000,423200,426300,429300,432300,435300,438400,441500,444700,448200,451800,455500,459300,463400,467700,472300,477100,482100,487400,492900,498400,503900,509500,515300,521500,528000,535100,542600,550500,558700,567400,576500,586200,596400,607100,618700,631400,644700,658400,671800,684400,696100,707100,717100,726900,736500,745800,755100,764400,772900,780900,788100,794200,799500,804000,807500,810500,813200,815400,817200,818200,818400,817700,815700,812400,808800,805200,801600,798200,794900,791000,786200,780500,774400,767900,760700,752500,743900,735000,725500,715400,704900,693500,681300,668600,656600,645700,636500,629000,622900,617200,611900,607100,602700,597600,591400,584400,577000,571000,568000,567300,567600,568800,570300,571600,573100,574200,573900,573800,574700,574000,571000,568200,565100,561600,557600,553500,549100,545300,542300,539700,537300,535200,533200,531100,528400,526400,525600,524700,523400,524000,526900,531100,535700,540400,545700,550700,555300,560600,566900,573300,579300,586100,595000,605600,616100,626500,635700,643400,649800,654500,657700,661000,664500,668400,672300,675400,677700,679700,681600,683300,685600,688500,691500,694200,697700,702100,706200,709900,713900,718000,721100,724000,727900,731700,735200,739300,743400,745600,747400,749700,752000,753900,756800,760500,764200,768200,772500,777100,781400,784900,788200,791700,794300,797300,800900,804200,807200,811400,816300,821000,827200,833900,837300,838400,840700,843200,844900,846600,848000,849700,852100,854300,854400,853200,850900,848100,846000,844700
47,Colorado,21,191900,190900,190300,190100,190400,191000,191700,192200,192200,191700,191000,190300,190000,190500,191700,193500,195600,197700,199300,200300,200400,199800,198900,198200,197800,198400,199900,202300,205400,208800,212300,215500,218300,220700,222800,224700,226600,228600,230700,233000,235300,237700,240100,242700,245500,248600,251900,255400,258700,261700,264400,266800,269100,271400,274000,277000,280400,284200,288200,292100,295800,298700,300900,302500,303700,304600,305500,306600,307900,309600,311400,313100,314600,315600,316400,317000,317400,317800,318400,319300,320300,321300,322300,323600,324800,325600,325900,325900,325600,325300,325300,325400,325800,326300,326600,326700,326800,327400,328400,329900,331700,333800,336100,338200,340200,342100,343800,345500,347500,349600,351800,354100,356400,358700,361000,363000,365000,366700,368200,369600,371200,372800,374300,376000,377500,378600,379300,379800,380500,381300,382200,383300,384800,386000,386800,387500,388000,388000,387700,386900,386000,385000,383800,382900,382200,381200,379700,378200,376500,374800,373500,372400,371600,371300,370900,370500,370000,368700,366800,365200,364100,363200,362500,362100,361400,361500,363100,362300,358400,356300,356500,356100,354800,353600,352600,351300,349900,348100,346000,345300,345700,345800,345200,344900,344800,345000,345300,346300,347600,348500,348500,349000,350800,353100,354900,356400,358100,359900,361500,362900,364200,365600,367100,368800,370600,372300,374600,377500,380400,382700,384900,386900,388600,389900,391100,392700,394700,396900,399200,401700,404300,407100,409700,412500,415400,418100,420300,423000,426500,429900,433000,436100,439100,441200,443100,445200,447300,449200,451900,455300,458700,461800,464800,467800,470700,473300,475700,477900,480300,483400,486800,489700,492800,495600,497800,499500,500900,501900,502800,504300,506400,510200,514600,518100,520600,523100,525200,526600,528100,531200,535700,539700,542900,545800,548600,550300,551100,551200,550600
44,Connecticut,28,280800,281000,281100,281100,281100,281000,281100,281300,282000,283100,284100,284800,285500,286100,286800,287500,288300,289000,289600,290100,290800,291500,292000,292300,292800,293600,294800,296200,298100,300300,302700,305100,307700,310600,313300,315800,318700,321900,325400,329100,332800,336500,340300,344200,348500,353200,357900,362500,367200,371900,376500,381200,385800,390300,394700,399000,403300,407700,411800,415500,419000,422200,425100,427900,430700,433400,436200,439100,442300,445700,449500,453300,457200,461100,465200,469200,473400,477500,481700,486200,490600,494400,497700,501300,505400,509900,514600,519100,523400,527400,531400,535500,539700,544200,548900,553800,558600,563300,568100,573100,578300,583700,589300,595000,600600,606100,611000,615700,620200,624400,628300,632200,635800,639100,642100,644500,646300,647600,648500,649200,649700,649600,648800,647800,646800,646200,646000,646200,647100,648400,649400,650100,650500,649800,647700,645300,642900,640400,637300,633700,629400,624300,619100,614900,612400,610500,608000,604500,600200,595800,591800,588200,585100,582100,578600,574800,570800,565900,560800,557800,557000,557200,557400,558000,558600,559400,561100,559300,554100,552100,553300,553000,551600,550500,548300,544100,539500,536800,535400,534900,534200,531600,530200,530200,529000,526000,523400,520700,517600,513900,510800,508700,507600,508000,507700,505600,502100,500400,499900,499700,499700,499600,499000,500200,502800,504000,503700,504400,505800,505900,505800,506700,507100,506500,506400,507900,509400,509900,509700,510000,510300,510000,510400,511900,513900,515100,515300,514800,514900,515000,515400,515900,516700,516800,516100,515300,515800,516400,516100,515300,514900,515100,515200,514500,514100,514500,513900,512100,511600,511900,511000,509200,508400,508800,508900,509500,511200,513500,515200,516900,517300,517800,519100,520300,519900,520200,521400,521900,521700,522000,522300,522200,523000,524400,526100,525700,524300,522200,519900
30,Delaware,44,189800,190200,190600,191000,191400,191600,191800,191900,192300,192700,193100,193200,193300,193300,193200,193100,193100,193200,193500,194000,195100,196700,198300,199800,201400,203000,204500,205800,207100,208000,208700,209200,209800,210300,210700,210900,211200,211700,212300,213200,214000,214900,215800,216900,218200,219700,221200,222600,224000,225300,226500,227700,228900,230000,231300,232700,234500,236700,239000,241400,243800,246100,248500,250700,253000,255100,257300,259500,262000,264900,267800,270700,273400,275900,278300,280500,282500,284400,286200,288200,290700,293600,296900,300300,303700,307000,310200,313400,316600,319700,322700,325500,328400,331200,334000,336500,338800,341100,343900,347400,352300,358900,366800,374500,380400,383800,385700,387600,390500,394400,398600,402700,406400,409400,411900,414100,416500,419200,421800,424700,427400,429400,430700,431500,431800,431500,430700,429700,429300,429200,429100,428900,429000,429200,429500,429900,430300,430300,429500,428300,427100,426200,425100,424400,423800,422900,421500,419700,417500,415000,412300,409800,408100,406700,405100,403100,401100,398600,395800,393700,392700,392300,392000,392100,392500,393200,394200,392400,388200,385400,385400,385100,383100,379900,377500,376300,374200,371300,369400,369400,369400,368300,365800,362600,360100,358500,357100,354800,352600,351600,350900,350300,351000,352400,353300,353100,351700,350800,351000,351500,351500,351300,352600,354600,355200,354000,353600,355000,357600,360700,363000,363200,362600,361700,360500,360400,362300,365400,368000,369700,370800,371200,369800,368000,366400,365800,365000,364900,366300,368100,369100,369200,370200,373100,375800,376400,377400,379700,382600,385300,387300,388800,391000,393600,394700,394200,392500,389900,387400,386500,386700,387000,387100,387300,386400,386000,387200,387200,391300,405100,421100,427400,426200,422200,418100,414900,413700,414200,415300,416100,415900,415700,416400,418600,420600,420900,420500,420000,419600
16,District of Columbia,47,392300,392200,392100,391800,391600,391600,391800,392400,393600,395200,396700,397600,398500,399500,400600,401800,403300,405000,407200,409700,412800,416500,420200,424100,428400,433300,438500,443800,449100,454200,459200,464200,469400,474800,480000,485000,490500,496300,502600,509300,516300,523800,531700,540200,549600,559400,569100,578100,586800,594700,601800,608100,613800,619000,624400,630200,636800,644000,651700,659800,668500,677600,686800,696000,705000,713900,722900,731900,741000,750100,759100,768100,776900,785400,793600,801300,808300,815300,822500,830300,838800,847200,853900,858300,860800,862600,864800,868000,872400,878400,886000,894600,903800,913400,923600,935100,948400,963300,979400,995900,1011500,1025900,1038800,1049500,1058400,1066700,1075600,1086400,1098900,1112200,1126100,1140300,1153500,1165000,1174600,1181800,1186900,1190700,1193700,1196600,1198900,1199400,1198600,1197300,1196200,1196000,1196700,1198500,1203000,1209900,1218200,1226800,1233500,1237200,1239600,1241100,1241100,1239800,1237400,1233800,1228600,1221100,1211200,1200300,1188700,1177100,1167100,1160000,1155100,1150700,1145800,1141300,1138100,1135600,1133400,1131000,1127400,1122400,1118300,1115000,1111800,1108700,1105900,1104500,1104100,1104900,1108100,1107900,1103300,1097300,1091500,1087300,1086400,1085600,1083400,1079000,1074100,1072600,1068600,1059600,1053600,1056600,1061300,1061000,1058200,1057900,1060200,1064900,1069500,1071200,1072700,1079000,1088100,1097500,1105500,1112500,1115900,1120000,1128500,1138900,1145700,1150300,1154500,1161500,1173000,1183700,1190200,1199000,1210300,1217300,1218200,1217400,1215300,1214300,1216100,1222000,1226500,1228600,1230200,1230600,1230100,1232000,1235200,1237000,1242300,1249700,1258200,1265700,1272000,1275100,1280000,1285700,1292400,1298100,1301100,1301200,1300600,1297800,1295800,1300800,1311200,1322900,1333200,1340400,1344200,1351200,1363300,1378800,1395700,1410500,1418000,1417800,1419100,1420400,1417600,1411600,1412300,1410800,1408000,1406100,1403800,1402600,1408700,1415500,1416000,1416800,1421900,1431100,1436300,1439600,1443600,1451200,1460200,1465800,1468600,1465100,1452800,1436700,1428500
36,Florida,4,199700,200300,201200,202200,203300,204300,205100,205500,205700,205700,205500,205100,204900,205000,205300,206000,206700,207700,208700,209800,210900,212100,213100,213900,214600,215400,216100,216800,217600,218600,219600,220700,222100,223500,224700,225900,227200,228600,230100,231600,233100,234600,236100,237600,239300,241000,242700,244200,245600,246900,248200,249500,250900,252500,254400,256500,258900,261500,264000,266300,268500,270600,272500,274300,276100,277900,279700,281500,283400,285400,287300,289100,290800,292400,294300,296300,298500,301000,303700,306700,309600,312500,315300,318300,321200,324000,326800,329600,332300,335100,338100,341200,344600,348100,351700,355700,360000,365000,370600,376800,383300,390100,397100,404000,411100,418500,426100,434600,444000,453600,463100,472400,481200,489200,496700,503800,510900,517900,524500,531200,538000,543900,548500,551900,554000,555000,555200,554600,553900,553000,551600,550200,549000,546900,543500,539000,533500,527500,521000,514000,506800,499200,490700,482300,474400,466400,458200,450200,442500,435100,428000,420900,414200,408000,401200,394300,387700,380600,373700,368700,365500,363400,361900,361100,359500,358700,360200,358600,353200,349500,348200,345500,342000,338500,335600,333100,330600,327900,325100,323600,323300,322800,322300,322700,323400,324300,325200,326000,326400,326600,326400,326600,327800,329200,329800,330300,331000,331600,331800,332300,333800,335500,337500,339900,342400,345000,348000,350800,353600,356200,358500,360900,363100,364900,366600,368900,371300,373500,375600,377600,379400,380900,381900,382600,383500,384300,385000,386700,389200,391700,393800,395700,397500,399300,401100,403100,405000,406800,408700,410900,413300,415500,417500,419900,422300,424900,428300,432100,435200,437100,438200,439400,441300,442900,443700,444300,445300,446400,447100,447200,447800,450000,452900,455200,457100,459100,461100,462900,464300,465900,468300,470700,473100,476100,478400,479200,479100,478800,478400
