RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
9,Alabama,23,35900,36600,37400,38100,38600,39000,39100,39100,39000,38900,38700,38600,38400,38200,38100,38000,37900,37900,37900,37900,37900,38000,38000,38000,38100,38100,38100,38100,38100,38000,37900,37900,38000,38300,38600,38900,39300,39600,40000,40300,40600,40900,41200,41400,41700,42000,42200,42300,42400,42400,42500,42700,42800,43000,43200,43500,43700,44000,44300,44500,44700,44900,45200,45400,45700,45900,46100,46300,46400,46400,46600,46700,46800,47000,47300,47500,47700,47800,48000,48000,48000,48100,48200,48300,48500,48700,48800,48900,48900,48900,48800,48700,48600,48500,48500,48500,48500,48700,49000,49400,49800,50300,50600,50900,51000,50800,50300,49400,48200,46800,45300,44000,42800,41900,41300,41000,41000,41100,41500,42000,42600,43300,43800,44300,44800,45300,45800,46300,46700,47000,47300,47400,47600,47600,47700,47800,47900,47800,47600,47300,47000,46700,46500,46300,46200,46200,46000,45700,45200,44600,44100,43600,43100,42600,42100,41700,41200,40700,40200,39800,39500,39100,38700,38400,38300,38100,38100,38000,37700,37300,37100,36800,36500,36300,36100,35700,35200,34700,34300,33800,33500,33800,34200,34200,34300,34400,34400,34400,34500,34400,34100,34200,34500,34500,34200,34300,34800,35600,36200,36600,36700,37000,37800,38400,38800,39200,39600,39800,39800,39700,39700,39900,40200,40400,40400,40200,40000,39900,40000,40000,40000,40000,40000,40100,40400,40600,40600,40600,40800,40800,40800,40900,41100,41100,41300,41800,42100,42200,42400,42600,42800,43100,43400,43500,43600,43600,43500,43600,43900,44100,44000,44100,44200,44500,44700,44900,45000,45200,45300,45300,45200,45600,46900,48100,48800,49400,49900,50600,51100,51700,52300,52600,52900,53100,53200,52800,52100,51600,51500
54,Alaska,45,95200,95400,95600,95700,95700,95500,95300,95200,95300,95400,95500,95600,96000,96400,96900,97600,98400,99200,100300,101600,103300,105200,107100,108800,110100,111100,111700,112200,112600,112900,113400,114000,114700,115600,116400,117100,117700,118300,118700,119100,119700,120300,120900,121500,122100,122500,122800,122900,122900,123000,123200,123300,123500,123600,123600,123500,123400,123500,123700,124000,124500,125000,125600,126000,126500,126900,127300,127700,128100,128600,129000,129400,129800,130300,130700,131300,131800,132200,132600,133000,133400,133700,134100,134400,134800,135400,136100,137000,138100,139200,140300,141100,141800,142400,143100,143900,144800,145800,146900,147700,148500,149100,149800,150500,151300,152200,153200,154300,155400,156400,157300,158200,159000,160000,161100,162300,163600,164900,166200,167500,168700,169600,170600,171400,172300,173100,174100,175200,176200,177100,177800,178500,179300,180000,180900,181800,182700,183500,184200,184800,185300,185600,185800,185900,185800,185700,185500,185400,185300,185300,185300,185300,185400,185500,185600,185800,186000,186100,186300,186500,186400,186300,186300,186200,186200,186500,186800,186900,187300,187700,187700,187800,188000,188400,189300,190100,190200,190000,189600,189200,189000,189200,189300,189200,189200,189000,188400,187500,187000,186800,186900,186400,185800,185600,185600,185400,185300,185300,185200,185700,186400,186700,186700,186900,187200,187100,187300,187600,187800,187800,187500,187100,186900,186900,187200,187700,188100,187500,186700,186700,187600,188400,189200,189900,190800,191500,192100,192400,192800,193100,193500,193700,193400,192800,192300,191700,191100,191200,191600,191900,191900,192300,193000,193500,193600,193800,193800,193600,193700,194000,194400,194800,194800,194800,194900,195200,195600,196100,196500,197000,197600,198000,197900,197500,197500,198000,198800,199200,199400,200000,201000,202100,201900,200300,199200,199700,200900,202100,202600
43,Arizona,16,61600,62100,62600,62900,63200,63400,63800,64200,64800,65600,66200,66700,67100,67500,67700,68000,68400,68800,69200,69700,70100,70600,71000,71200,71500,71800,72100,72500,73000,73400,73800,74100,74500,74800,75100,75400,75700,76100,76500,77100,77600,78000,78300,78600,78700,78700,78700,78600,78600,78700,79000,79300,79700,80200,80800,81500,82300,83200,84000,84900,85600,86200,86700,87200,87700,88200,88700,89200,89700,90300,90900,91500,92000,92500,92800,93200,93500,93900,94500,95100,95900,96600,97100,97700,98200,98700,99200,99800,100400,101200,102000,102800,103600,104500,105600,106700,108000,109400,111100,112900,114900,117100,119400,121900,124700,127500,130300,133400,137100,141100,145400,149900,154200,158000,161300,163900,166000,167700,169400,171000,172500,173700,174700,175300,175800,176100,176200,176100,176100,176200,176200,176200,176100,175900,175400,174600,173400,171800,169800,167500,165000,162200,159100,155800,152500,149200,145700,142100,138500,134800,131000,127200,123400,119600,115700,111700,107700,103800,100000,96700,93800,91200,89000,87600,86700,86000,85600,85200,84400,83500,83000,82400,81200,80400,79800,78800,77700,77000,76300,75500,74400,73200,71900,70700,69900,69300,69000,69000,69000,69200,69600,70300,71500,72800,73800,75200,76700,78200,79500,80900,82400,83500,84700,86300,88100,90000,92000,93600,95300,96800,98200,99400,100500,101600,102500,103100,103800,104900,106000,106800,107600,108400,109400,110200,110900,111400,112000,112600,113200,114200,115400,116500,117700,118600,119300,120200,121300,122100,122700,123700,124900,125900,127000,128300,129700,130800,131900,133300,134500,135100,135600,136700,137900,139000,140000,141400,142900,144100,145400,146800,148000,149600,151300,152700,153700,154700,155700,156800,158000,159800,161800,163100,164100,165400,166500,166800,166700,166900,167500
14,Arkansas,31,28000,28000,28100,28100,28200,28200,28200,28300,28300,28400,28400,28500,28600,28600,28700,28700,28800,28900,29100,29400,29700,30000,30400,30600,30800,31000,31200,31400,31500,31700,31800,31900,32000,32000,32100,32100,32100,32200,32400,32600,32700,32900,33000,33100,33100,33100,33200,33200,33300,33300,33300,33400,33500,33600,33800,33900,34000,34200,34500,34700,34800,35000,35200,35400,35500,35500,35600,35600,35600,35500,35500,35600,35600,35700,35700,35800,35800,35800,35900,36000,36100,36200,36200,36300,36400,36700,36900,37100,37300,37500,37700,37800,37900,38000,38200,38500,38700,39100,39400,39700,39900,40200,40500,40800,41400,42200,42900,43500,43900,44100,44300,44500,44700,44900,45300,45600,45900,46100,46300,46400,46600,46800,47100,47500,47900,48200,48400,48500,48500,48300,48100,47900,47700,47400,47300,47100,47100,47000,47000,46900,46900,46800,46700,46700,46500,46300,46100,45900,45700,45600,45400,45200,44900,44700,44500,44400,44300,44100,44000,43800,43600,43500,43400,43300,43000,43000,43100,43100,43300,43500,43500,43400,43100,42800,42500,42400,42300,42200,42100,41900,41600,41400,41200,41200,41300,41200,40900,40800,40900,40700,40400,40300,40400,40400,40600,40700,40700,40800,41000,41000,41100,41300,41500,41400,41400,41400,41300,41300,41300,41400,41400,41400,41400,41400,41400,41300,41300,41300,41300,41300,41300,41400,41400,41500,41500,41500,41400,41300,41500,41800,42100,42300,42600,42800,43100,43400,43600,43500,43500,43500,43900,44200,44300,44400,44800,45200,45500,45900,46400,46600,46800,47100,47300,47600,47900,48200,48200,48300,48500,48700,48300,48900,51000,53200,54200,54700,54800,55200,55700,56200,56600,57200,57500,57400,57100,56700,55800,55100,55000
21,California,1,103000,102700,102400,102100,101700,101400,101100,100700,100400,100100,99700,99200,98700,98400,98200,98100,98200,98400,98800,99300,100200,101200,102000,102800,103400,104000,104400,104800,105200,105600,106000,106500,107100,107800,108500,109100,109700,110300,111000,111700,112500,113400,114400,115400,116700,118000,119300,120300,121400,122400,123300,124200,125100,126000,126900,127900,129000,130200,131500,132700,133900,135200,136500,137800,139100,140400,141700,143100,144700,146300,148000,149800,151600,153400,155400,157500,159800,162200,164800,167400,170000,172300,174600,177100,179700,182400,185300,188400,191500,194900,198400,202000,205800,209900,214200,219000,224300,230100,236300,242700,248900,254900,260800,266300,271800,277400,282800,288200,293900,299500,305000,310300,315000,319200,323100,326500,329500,332100,334400,336600,338600,340200,341200,341100,339800,337900,335700,333100,330500,328300,326000,323400,320500,317300,313600,309300,304100,298600,293000,287200,281200,275000,268100,260500,252200,243900,235700,228500,222300,216700,211200,205800,200400,195400,190300,185100,179600,174000,169100,165600,163000,161200,160200,159500,159300,159000,158900,158900,159100,159400,159600,159300,158900,158300,157400,156700,155700,154300,153000,151900,151000,150200,149200,148200,147200,146300,145400,144600,144200,143900,144100,144600,145300,146300,147500,148600,149500,150600,152100,153800,155700,157700,160000,162800,166200,169800,173300,177200,181100,184500,187300,189800,192400,195000,197400,199700,202100,204400,206700,208900,210900,212700,214600,216300,218000,219700,221600,223200,224700,226200,227700,229300,230800,232500,234200,236000,237700,239300,240700,241900,243500,245300,246900,248700,250500,252400,254900,257300,259100,260800,262700,264500,266300,268300,270700,272900,274800,276700,278900,280900,282700,285100,287900,289500,290500,292100,293900,295500,297000,298400,299900,301500,303100,304300,305200,306000,306600,307100,307100
47,Colorado,22,77400,77600,77900,78300,78700,79200,79800,80300,80600,80800,80800,80700,80800,81300,82000,82800,83700,84600,85500,86200,86900,87500,88100,88600,89200,89900,90700,91600,92500,93400,94300,95100,96000,96900,97700,98500,99400,100400,101300,102400,103500,104600,105900,107200,108600,110000,111400,112600,113700,114900,116100,117300,118400,119500,120600,121700,122800,124000,125100,126200,127100,127900,128600,129200,129800,130300,130800,131300,131800,132200,132700,133200,133700,134100,134600,135000,135400,135800,136200,136700,137200,137700,138100,138600,139100,139500,139800,140000,140300,140600,141100,141500,141800,142200,142500,142900,143200,143700,144100,144400,144800,145300,145700,146300,146900,147400,147900,148400,148800,149100,149400,149700,149900,150200,150400,150600,150800,151000,151300,151600,151900,152200,152500,152700,152800,152700,152600,152500,152500,152400,152400,152400,152400,152300,152100,151700,151100,150200,149100,147900,146600,145300,144100,142800,141600,140500,139300,138200,137400,136600,135800,135200,134600,134100,133600,133000,132200,131200,130300,129800,129800,129900,130200,130500,131000,131100,131300,131200,131100,131300,131600,131200,130500,129600,128900,128200,127400,126600,126000,125500,124900,124300,123800,123200,122600,122300,122000,121900,122000,122000,122100,122500,123200,123900,124500,125300,126300,127300,128200,128800,129400,130100,131100,132100,133100,134100,135400,136900,138100,139000,140100,141000,141800,142500,143200,143900,145000,146300,147700,148900,150300,151800,153300,154900,156600,158400,160300,161900,163700,165600,167400,169400,171500,173200,174800,176400,177900,179400,180900,182600,184600,186700,188600,190200,192000,194000,195900,197800,199800,201700,203900,206300,208500,210400,212200,213900,215700,217300,218600,220400,222300,224500,226500,228200,229400,230800,232500,234100,235500,237500,240300,243200,245500,247400,249000,249600,249500,249200,249100
44,Connecticut,28,82500,82600,82700,82800,82900,82900,82900,82800,82900,82900,82900,82700,82500,82400,82300,82200,82100,82100,82200,82300,82700,83200,83700,84000,84300,84700,85100,85400,85700,86100,86600,87000,87600,88100,88700,89200,89700,90200,90700,91200,91700,92200,92700,93300,94000,94800,95600,96300,97100,97800,98500,99200,100000,100700,101500,102400,103300,104300,105300,106300,107300,108400,109400,110500,111600,112800,113900,115000,116100,117300,118400,119500,120500,121500,122500,123500,124500,125600,126800,128100,129400,130700,132000,133300,134700,136000,137300,138600,139700,140900,142000,143100,144300,145600,146900,148300,149700,151400,153200,155100,157000,159100,161100,162900,164700,166500,168200,169900,171700,173500,175200,177000,178800,180400,181900,183300,184400,185400,186200,187000,187700,188300,188800,189200,189400,189600,189700,189800,190100,190400,190600,190800,190800,190500,190100,189600,189200,188800,188200,187400,186200,185000,183600,182300,181200,180100,178800,177300,175600,174000,172500,171100,169900,168800,167600,166200,164600,162800,161000,159700,159000,158700,158600,158700,159100,159300,159500,159500,158800,158100,158100,157700,156700,155500,154200,152700,150900,149600,148500,147200,146100,145200,144100,143000,141800,140700,139800,138800,137400,135700,134700,134100,133500,133000,132800,132700,132500,132000,131600,131400,131300,131200,131100,131400,132100,132700,132900,133100,133100,132800,132700,132800,132600,132500,132300,132000,131600,131400,131200,130900,130600,130300,130000,129900,129900,129700,129200,128500,128300,128400,128300,128500,128800,128900,128600,128400,128500,128800,129300,129900,130400,131000,131600,132100,132500,133300,134200,134800,135400,136400,137300,138300,139100,139100,138500,138500,139700,141200,142000,142800,143900,144700,144700,144500,144800,145400,146100,146700,147400,148100,148700,149100,149500,150000,150900,151300,150800,150800,151200
,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,District of Columbia,48,78200,78600,78900,79100,79200,79300,79200,79100,79000,78900,78800,78500,78000,77400,76800,76100,75500,75200,75100,75300,75800,76500,77100,77500,78000,78500,79100,79800,80600,81500,82200,82900,83500,84200,84800,85300,86000,86600,87200,87700,88000,88300,88600,89100,89800,90700,91600,92300,93000,93800,94500,95300,96100,96900,97600,98400,99400,100500,101800,103000,104500,106000,107500,109100,110500,112000,113300,114700,116000,117400,118700,120000,121200,122400,123500,124500,125500,126600,127800,129100,130600,132100,133600,135100,136800,138700,140700,142900,145300,147700,150200,152800,155300,157800,160200,162600,165200,167800,170800,174200,178000,182300,186700,191000,194900,198500,202000,205500,209000,212500,215900,219500,223000,226400,229700,232700,235600,238600,241500,244400,247300,249900,252200,254100,255400,256200,256700,257100,257700,258800,260100,261500,263000,264200,264900,265400,265600,265300,264800,264000,262700,261300,259500,257400,255100,252800,250500,248700,247100,245400,243700,242000,240200,238600,237000,235100,233200,231200,229100,227000,225000,223200,221700,220400,219600,218500,218100,217300,215500,213400,212600,211100,209600,208200,206900,206300,206100,205100,203400,201800,200600,200100,199800,198900,197900,197300,197000,196700,196600,196800,197000,197300,197900,198700,199000,199400,200000,201300,202900,204200,204700,205700,207100,209500,212500,215100,217100,220100,223500,225700,226800,227700,228700,229900,231100,232200,233500,235000,235800,236400,237300,238600,239800,240900,242500,244400,247300,250100,252400,254200,256800,258900,260400,261600,263300,264400,264900,264500,264100,265100,268100,271400,273800,275600,276900,278200,280200,283100,286400,289500,291500,293100,295400,297700,299900,302000,304000,305500,306400,306900,307500,308600,310300,311200,310900,311000,312000,314100,316900,320100,323800,327700,331000,333400,335600,334700,330200,326100,324900
16,Florida,4,48300,48400,48500,48500,48500,48500,48600,48700,48900,49100,49300,49400,49500,49600,49700,49800,49900,50100,50300,50600,50800,51100,51200,51300,51300,51400,51500,51800,52200,52600,53000,53400,53800,54100,54300,54500,54700,54800,55000,55300,55600,55800,56100,56400,56700,57100,57300,57400,57600,57800,58100,58400,58700,59200,59700,60200,60800,61500,62200,62800,63400,63900,64500,65100,65700,66300,66800,67400,67800,68100,68500,68900,69400,69900,70400,71000,71600,72300,72900,73600,74200,74700,75200,75800,76600,77500,78400,79400,80400,81400,82400,83400,84400,85600,86800,88000,89300,90700,92300,94000,95800,97800,99900,102100,104500,107200,110100,113300,116700,120200,123600,127000,130200,133200,135900,138500,140900,143400,145500,147600,149700,151400,152800,153800,154300,154300,154100,153600,152900,152300,151500,150500,149500,148400,146800,145000,143200,141100,139000,136800,134400,132100,129500,126800,124200,121600,118600,115400,112000,108500,105100,101800,98300,95100,91700,88200,84700,81300,77800,75000,72800,71000,69700,68900,68400,67500,67000,66600,65500,64400,64200,63700,62900,62100,61200,60300,59200,58300,57500,56900,56400,55900,55400,55100,54900,54700,54700,54600,54500,54600,54700,55100,55400,55700,56100,56400,56700,57000,57200,57400,57900,58600,59100,59500,60100,60900,61600,62200,63000,63800,64500,65100,65600,65900,66400,67000,67600,68300,69000,69600,70300,70800,71200,71600,72000,72700,73200,73700,74600,75500,76000,76800,77700,78400,79300,80400,81300,82100,83000,83900,85100,86400,87800,89200,90600,92200,94200,96500,98600,100200,101700,103500,105600,107700,109200,110800,112400,114100,115600,117000,117900,119200,120800,122000,122900,124000,125000,126100,127200,128200,129400,130800,132100,133100,134200,134200,133400,133200,133500
