RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
9,Alabama,23,86100,85600,85000,84300,83600,83100,82700,82500,82500,82500,82600,82600,82700,83000,83400,84100,84900,85700,86600,87400,88100,88600,88900,89100,89200,89200,89100,89000,88900,88900,88900,89000,89300,89700,90100,90500,90900,91200,91600,91900,92200,92400,92700,92900,93100,93400,93600,93900,94100,94300,94500,94700,94800,95000,95300,95700,96400,97400,98500,99700,100900,102000,103100,103900,104500,105000,105300,105500,105600,105800,106200,106700,107300,108100,108900,109700,110400,111100,111700,112500,113300,114100,114700,115000,115100,115000,115000,115200,115600,116300,117000,117900,118900,120000,121200,122300,123300,124300,125500,126700,128000,129300,130600,131900,133100,134100,134800,135700,136900,138500,140300,142300,144400,146600,149000,151300,153500,155600,157500,159600,161900,164300,166300,167800,169000,169800,170500,171100,171400,171900,172100,172400,173000,173900,174800,176000,177000,177600,177800,177500,176900,176400,175600,174700,174000,173100,171600,170200,168800,167200,165800,164700,163700,163200,162500,161600,160800,160100,158800,157400,156000,154500,153100,151900,151300,149900,149500,148700,147000,145200,144900,143900,142900,142100,141200,140000,138800,138000,137700,137500,137100,136000,134700,133700,133600,133800,134200,134600,134900,134800,135000,136000,136400,136500,137300,138400,139200,140600,142000,142700,143200,143500,143000,142400,142300,142800,142900,143100,142800,142700,142500,142600,142900,143200,143000,142500,142400,142300,142400,142600,143000,142900,142600,142100,142300,142700,142700,142700,143600,144600,145300,146100,146900,147400,147700,148200,148700,149200,149800,150500,150700,151000,151700,153000,153900,154700,155400,156200,157200,158000,158000,157600,157900,158300,158200,157800,157000,155800,154500,153600,152600,153500,155700,157300,158400,160200,161300,161200,161300,162600,164900,167100,168200,168400,169100,170500,172300,173400,173400
54,Alaska,45,87300,86500,86000,85700,85500,85200,84900,84700,84500,84400,84500,84600,84800,85100,85600,86300,87500,89000,91000,93300,95700,98000,100100,101700,102700,103200,103300,103100,103000,102900,103000,103400,104100,105000,106100,107200,108300,109400,110300,111200,112200,113300,114500,115500,116300,116800,117000,116800,116400,115800,115000,113900,112700,111600,110600,110000,110000,110600,111700,113300,115100,116800,118500,120000,121200,122300,123100,123800,124400,125000,125700,126300,126900,127800,128700,129800,130900,132000,133000,134000,134600,134800,134800,135100,135800,136800,138100,139400,140600,141700,142500,143000,143200,143500,143900,144300,144800,145300,145900,146500,147400,148500,149600,150700,151800,153100,154400,155900,157200,158500,159700,160900,162000,163000,164300,165700,167300,169000,170800,172500,174100,175600,177000,178300,179500,180700,181900,182900,183900,184800,185500,186000,186400,186900,187500,188100,188300,188400,188300,188100,187900,187600,187200,186600,186000,185400,185000,184900,185100,185500,185800,186400,187100,187800,188500,189300,190100,190800,191400,191500,191300,191200,191300,191800,192200,192600,192900,193300,194100,194800,195200,195500,195900,196200,196800,196800,195800,194800,194300,193600,193400,193500,193400,193400,193300,192800,191800,190700,190500,190300,189700,188700,187600,186600,186100,185600,186000,187000,187700,188400,189600,190600,191300,191800,192000,192000,192400,192900,192700,192600,192900,193600,193900,194000,194200,195000,195400,195300,194800,195000,195700,196400,196800,196700,196500,196600,196900,197100,197500,198000,198300,198800,199100,199600,200100,200600,200900,201600,202600,203100,202300,201500,201800,201900,201600,200600,198800,196700,196000,195800,195200,195000,195600,196300,196600,196700,196600,196600,197100,198200,199400,200100,200000,199600,199200,199400,199500,199200,198700,198400,199100,200200,199700,198200,197700,198900,201100,203100,203700
43,Arizona,16,75000,75300,75500,75700,75900,76000,76200,76400,76700,77100,77300,77500,77700,77900,78100,78400,78700,79000,79400,79800,80200,80800,81200,81400,81700,81900,82200,82500,82700,83000,83300,83700,84000,84500,84900,85100,85400,85700,86000,86200,86400,86700,86900,87100,87400,87700,88000,88200,88400,88600,88900,89100,89300,89600,90000,90300,90800,91200,91700,92100,92500,92800,93000,93300,93500,93700,94000,94300,94700,95100,95500,95800,96100,96400,96700,97000,97500,97900,98400,98900,99500,100100,100700,101200,101700,102300,102800,103400,104000,104600,105300,106000,106700,107400,108300,109300,110500,111800,113400,115200,117200,119500,122100,124900,128000,131400,134900,138800,143200,148100,153300,158500,163500,168000,171900,175100,177700,179900,181700,183300,184500,185200,185100,184700,184100,183400,182600,181700,180700,179900,179000,178300,177900,177500,176700,175800,174700,173100,171100,168900,166500,164000,161100,158300,156000,153800,151500,149400,147400,145200,143000,140700,138400,136200,133800,131300,129100,126900,124500,122300,120300,118400,116600,115100,114300,113200,112700,111600,109100,106300,104600,102500,100100,98300,97200,95500,93800,92200,90800,89400,87900,86300,84500,82900,81600,80900,80700,80900,81100,81400,81900,82900,84300,85800,87400,89200,90900,92000,92800,93800,95100,96600,98100,99600,101000,102600,104100,105700,107300,108900,110100,110900,111700,112400,112800,113000,113300,113900,114300,114600,114900,115500,116100,116600,117000,117200,117300,117400,118000,118900,120000,121000,121800,122300,122900,123600,124100,124500,124800,125500,126500,127700,128800,129900,131200,132400,133700,135100,136000,136400,137100,138200,139600,140700,141600,142800,144100,145200,146500,147800,148900,150300,152000,153600,154800,156000,157100,158400,160000,161700,163300,164400,165600,167000,168200,168800,169400,170100,170600
14,Arkansas,32,78500,78600,78600,78500,78400,78400,78300,78200,78200,78300,78400,78600,78800,79000,79000,79000,78900,78800,78600,78500,78500,78400,78400,78500,78600,78700,78600,78400,78200,78000,77800,77700,77500,77500,77500,77700,77900,78100,78100,78100,78100,78000,77900,78000,78000,78100,78400,78800,79300,79600,79900,80000,80100,80300,80400,80600,80900,81100,81600,82300,83000,83700,84100,84500,84900,85300,85700,86100,86700,87400,88200,89400,90900,92200,93200,94200,95200,96300,97300,98500,100100,101700,102300,100900,98300,96500,96200,96600,97200,97600,97700,97700,97500,97300,97300,97800,98600,99500,100500,101700,103200,105000,107100,109100,110700,112000,113200,114600,116200,117800,119100,120100,121000,121800,122700,123600,124500,125600,126800,128400,130200,131800,133100,134100,134900,135600,136200,136700,137200,137900,138600,139400,140100,140700,140900,140900,140800,140700,140500,140200,139800,139600,139400,139100,138800,138600,138100,137400,136600,135800,135100,134400,133600,133200,132700,132200,131500,130900,130100,128900,127700,126900,126400,125900,125900,125500,125500,125300,124300,123500,124500,125600,126700,127200,126800,126200,126000,125700,125000,125000,125600,126000,125100,124400,124500,124800,124700,124700,124700,124900,125100,124600,123800,123400,122800,122000,121300,121100,121700,122100,122500,122200,121100,120700,121600,122700,123900,125500,126200,125300,124800,125100,124600,124200,125400,126400,126300,125400,124000,123200,123300,123900,124200,124100,123700,124000,124800,124700,124200,123700,123400,123200,122600,121400,120400,120700,121000,120700,120000,120300,120900,121600,122300,123200,124000,125600,127100,127900,128700,129800,130300,130400,130500,130900,131600,132500,133100,133500,133300,132400,132300,132800,133700,134400,135200,135800,135700,134900,134500,135400,136600,137700,138600,138700,137900,138000,138900,140200,141100
21,California,1,138900,138600,138300,138100,137800,137600,137500,137600,137900,138300,138600,138700,138800,139000,139300,139600,140100,140700,141600,142600,144000,145500,147000,148300,149500,150700,152000,153100,154300,155600,156800,158100,159600,161200,162700,163900,165100,166500,167900,169200,170700,172300,174100,176100,178400,180900,183400,185800,188400,191000,193700,196500,199300,202100,204900,207700,210600,213500,216300,219100,221700,224300,226600,228900,231100,233200,235200,237300,239400,241500,243800,246300,248900,251800,254900,258300,261800,265300,269000,272700,276400,279900,283200,286600,290100,293700,297500,301600,305900,310600,315700,321100,326700,332800,339400,346700,354600,362900,371400,379800,387600,394900,401400,407400,413000,418500,423600,428600,433400,437600,441400,445000,448200,451100,453800,456000,457900,459700,461100,462100,462800,462900,462500,461200,459200,456800,454300,451700,449100,446900,444400,441600,438400,435000,431300,427000,422100,417000,411800,406300,400600,394800,388500,381600,374500,367800,361600,356500,352300,349000,345800,342700,339800,337400,334400,330800,326700,322500,319000,316900,315900,315500,315500,315600,316300,316200,316000,315500,315300,315100,314600,312700,311100,308900,306500,304100,301500,298400,295900,293600,290900,288200,285800,283500,281000,278400,276300,274900,273600,272400,271900,272400,273600,275100,276600,278400,280300,282600,285500,288900,292500,296100,300500,306600,313700,321300,329000,336200,342300,347800,352300,355600,358500,361700,364900,367700,370000,372300,374400,376400,377800,379500,381500,383300,384900,387100,389700,392300,394600,397000,399500,402000,404300,406900,409500,412200,415300,418200,419900,421400,423300,425100,426800,429100,431500,433800,436600,439900,443100,445800,448100,450100,452400,454700,457000,459700,463000,466100,469200,472900,476700,481800,487100,490000,491400,493600,495500,496900,499000,501100,502900,504400,505700,506000,505200,504000,503200,502200,500500
47,Colorado,22,93000,93000,93200,93400,93600,93900,94200,94500,94900,95400,95700,96000,96300,96700,97200,97700,98200,98800,99400,100000,100700,101400,102000,102700,103500,104200,105100,105900,106800,107600,108500,109400,110300,111200,112200,113100,114100,115100,116200,117300,118400,119500,120600,121600,122800,124100,125300,126600,127900,129200,130600,131900,133300,134700,136100,137500,138800,140200,141300,142500,143600,144700,145700,146700,147600,148400,149100,149800,150400,151000,151500,152000,152400,152700,153100,153300,153400,153400,153500,153600,153700,154000,154200,154500,154700,154700,154700,154700,154800,155000,155300,155600,155800,156000,156200,156400,156600,156700,157000,157200,157500,157700,158000,158500,158900,159500,159900,160200,160400,160600,160800,161000,161200,161400,161400,161500,161500,161600,161700,161800,161900,162000,162000,161900,161800,161700,161600,161400,161300,161400,161400,161400,161600,161600,161500,161400,161100,160600,160000,159100,158100,157200,156200,155300,154400,153700,153000,152500,152000,151600,151300,151000,150700,150600,150400,150000,149300,148500,147700,147300,147200,147200,147300,147400,147500,147400,147500,147200,146500,146000,145900,145100,144000,143000,142200,141500,140600,139500,138500,138000,137700,137400,136800,136200,136000,135800,135300,135200,135500,135600,135600,135800,136400,137000,137700,138300,138900,139600,140500,141400,142300,143200,143900,145000,146300,147300,148500,150200,151600,152700,153700,154700,155300,155900,156800,157800,158900,160400,161800,163200,164800,166700,168200,169700,171300,173300,175200,177200,179300,181600,184200,186800,189600,192300,194700,196700,198500,200500,202700,204800,207200,209900,212800,215500,218000,220200,222700,225200,227700,230000,232500,234600,236500,238100,239400,240600,241600,242400,243400,245100,246900,249400,252300,254400,255800,257100,258000,258800,259700,261200,263700,266200,268200,269700,270600,270800,270400,269700,269000
44,Connecticut,29,79900,80100,80200,80200,80200,80200,80100,80100,80000,80000,79900,79700,79400,79200,79000,78800,78800,78800,78900,79100,79500,80000,80400,80800,81100,81300,81500,81700,81900,82100,82300,82600,83000,83500,84000,84500,85000,85500,86000,86400,86900,87300,87600,88000,88400,89000,89500,90000,90700,91400,92200,93000,94000,95000,96100,97300,98500,99900,101300,102800,104300,105900,107600,109300,111000,112600,114100,115500,117000,118400,119700,121000,122200,123500,124700,125900,127300,128700,130200,131800,133500,135100,136700,138100,139600,141000,142400,143700,144900,146100,147200,148400,149700,151100,152700,154300,156100,157900,159900,162000,164100,166400,168700,171000,173100,175200,177100,179000,180800,182500,184200,185700,187300,188700,190000,191100,192000,192700,193400,194100,194800,195500,195900,196200,196400,196500,196500,196500,196600,196700,196700,196500,196100,195700,195200,194700,194300,194000,193700,193200,192500,191600,190700,189700,188700,187900,186900,185500,184000,182600,181300,180000,178800,177700,176600,175200,173700,172200,170600,169400,168800,168700,168700,169000,169300,169500,169600,169700,169200,168800,168800,168600,168000,167400,166000,163800,161900,160800,159400,158000,157200,155800,154200,152600,151200,149400,148400,147500,146300,144500,143500,143000,142500,142200,142300,142500,142100,141300,140600,140200,139900,139800,139700,139600,139600,139500,139200,139300,139400,139300,139100,139300,139200,139000,139000,138900,138500,138300,138200,137600,136900,136300,136000,135900,136000,136200,136000,135300,135000,135300,135300,135300,135700,136400,136600,136500,136500,136400,136100,135800,135500,135800,136500,137000,136600,136200,136000,135800,135700,135800,136000,136700,137700,137500,136500,136400,137800,139400,140100,140500,141100,141700,141700,141300,141200,141600,142000,142100,142500,142900,143400,143700,143900,144300,145100,145900,146400,146600,146800
,Delaware,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,District of Columbia,48,96900,97100,97500,97900,98400,99000,99700,100200,100800,101300,101800,101900,101800,101600,101200,100900,100500,100300,100200,100400,100900,101700,102600,103400,104300,105300,106300,107500,108800,110100,111300,112500,113700,114900,116300,117600,119100,120500,121800,122800,123600,124200,124500,124600,124600,124900,125300,125800,126700,127700,128800,129900,131200,132500,134100,135800,137700,139900,142200,144600,147200,149900,152700,155700,158800,161900,165200,168400,171700,175200,179100,182900,186600,190200,193700,197100,200400,203700,207100,211900,217800,222800,226100,229300,232400,235700,239200,243000,246800,250800,255000,259300,263600,268300,273500,278900,284400,289800,295300,301000,307000,313000,318900,323700,327500,331100,334700,338100,341600,344800,347900,351000,353900,356500,359000,360900,362300,363600,364800,365600,366100,366100,365800,365000,363600,361900,360100,358200,356800,356200,356300,356300,356300,356100,356000,355900,355700,355200,354700,353800,352600,351300,350000,348400,346700,345100,343800,342700,341800,340700,339800,338800,338000,337500,337000,336100,335000,333800,332900,332700,332900,333200,333500,333800,334300,334900,335300,336000,337000,338000,338500,338800,338600,338600,338600,339100,339700,339800,339000,338000,336800,336100,335400,333800,332300,331600,331500,331300,331100,331400,332300,333600,335100,336400,337500,339400,341800,344200,346600,349300,351500,353200,354600,356300,358200,360800,363700,366900,370300,372900,374500,376200,377300,378000,379200,381200,383500,385400,385900,385300,385000,384900,384900,384300,384600,386500,389600,391700,393200,394800,396800,398200,399400,401000,402500,403300,403400,402200,400400,399900,400900,402300,403400,404500,405500,405900,407100,409100,411500,413200,413800,414100,414900,415600,416900,418100,418000,417000,415500,414300,413700,414200,415800,417400,417500,417000,417500,418900,419600,420900,423300,425800,427500,428500,429200,428300,426300,424600,424000
16,Florida,4,71100,71200,71300,71300,71400,71400,71500,71600,71800,72000,72200,72400,72500,72700,72900,73000,73200,73500,73800,74000,74400,74800,75100,75200,75300,75400,75400,75400,75500,75600,75800,76000,76400,76700,77100,77400,77600,77900,78100,78400,78700,79000,79300,79600,80100,80600,81000,81500,81900,82400,82800,83200,83700,84200,84700,85400,86100,86900,87800,88800,89900,91200,92500,94000,95500,97000,98600,100100,101500,102900,104200,105400,106400,107400,108400,109300,110100,111000,112000,113000,114100,115300,116600,118100,119600,121100,122700,124200,125800,127300,128900,130500,132000,133600,135300,137100,139000,141100,143600,146400,149300,152500,155800,159300,162900,166800,170700,174800,179300,183900,188700,193400,197900,202100,206000,209500,212900,216200,219300,222400,225500,228000,229800,230900,231200,230900,230100,228700,227100,225400,223200,220600,218000,215300,212200,209100,205900,202600,199200,195600,191800,187900,183800,179600,175700,171900,168000,164300,160600,156900,153100,149300,145500,142000,138400,134600,130800,127200,123600,120500,118100,116000,114300,112800,112100,110800,110300,109600,107800,105600,104700,103100,101300,99800,98700,97700,96300,95200,94200,93200,92400,92000,91400,91000,90800,90600,90500,90600,90600,90700,90900,91300,92100,92800,93300,93900,94500,95200,95700,96600,97700,98700,99800,101000,102600,104400,105900,107600,109500,111000,112200,113400,114500,115600,116500,117700,118900,120000,121300,122700,123900,124900,125900,126700,127600,128300,129100,130300,131600,133000,134300,135300,136200,137300,138400,139200,140200,141300,142200,143200,144500,145600,146800,148000,149200,150400,152200,154100,155600,156600,157400,157900,158700,159600,160200,160900,161800,162900,163800,164200,164500,165600,166900,167600,168100,168800,169600,170300,170900,171600,172500,173800,174900,175600,176400,176600,176200,176000,176100
