RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
9,Alabama,23,76200,76700,77200,77800,78200,78700,79000,79100,79100,79100,79000,79000,79000,79100,79200,79300,79400,79600,79700,79800,79800,79800,79800,79700,79600,79500,79500,79600,79900,80100,80500,81000,81500,82200,82800,83400,83900,84300,84600,84800,84900,85100,85100,85200,85300,85400,85600,85700,85900,86000,86200,86300,86500,86700,87000,87300,87700,88200,88600,89100,89500,89800,90200,90400,90700,91000,91200,91500,91700,91900,92100,92300,92600,92800,93000,93300,93500,93800,94100,94400,94700,95000,95200,95500,95900,96300,96600,97000,97300,97600,97900,98300,98500,98800,99200,99500,99700,100000,100400,100800,101400,102000,102600,103100,103400,103300,102700,101700,100500,99400,98600,98000,97500,97100,97000,97100,97600,98400,99700,101400,103500,105400,107100,108500,109600,110300,110900,111200,111300,111300,111400,111500,111700,111800,111800,111800,111600,111500,111300,111200,111100,111000,110900,110900,110900,110700,110400,110000,109500,108900,108500,108100,107600,107200,106700,106300,105900,105400,104700,104100,103600,103200,102900,102700,102600,102600,102600,102200,101400,100900,100900,100700,100400,100100,99800,99100,98500,97900,97100,96500,96200,96100,96100,96200,96000,95400,94900,94800,94800,94900,95000,95100,95000,95000,94900,95200,96400,98000,99200,100000,100500,101200,102200,103500,104700,105500,106300,106800,107000,107200,107800,108400,108800,109400,109600,109400,109200,109300,109600,110000,110400,110700,111000,111500,112000,112000,111800,111800,112000,112200,112400,112500,112700,113200,113400,113600,113900,114300,114600,115100,115700,116300,116800,117200,117500,117500,117500,117800,118000,118200,118400,118900,119600,120000,119900,119800,120000,120400,120500,120700,121000,121700,122600,123800,124700,125200,125600,126500,127300,127900,128700,129600,130200,130500,130900,130900,130800,131100,131700
54,Alaska,47,124700,126400,128100,129800,131300,132600,133700,134600,135400,136200,136500,136300,136100,135900,135700,135600,135700,136000,136500,137200,138300,139600,140800,141700,142600,143400,144400,145500,146700,148000,149200,150200,151200,152100,152700,153000,153500,154100,154700,155300,155900,156600,157200,157700,158100,158500,158700,158500,158300,157900,157400,157000,156700,156700,157300,158700,161300,164700,168700,172900,177300,181300,184800,187700,190100,192000,193300,194400,195400,196300,197000,197500,198000,198600,199100,199600,200000,200500,200900,201300,201500,201800,202400,203100,204000,205100,206600,208300,210000,211700,213300,214800,215900,217000,218000,219100,220200,221400,222900,224600,226500,228600,230800,233100,235500,237900,240300,242600,244900,247100,249000,250900,252800,254800,256900,259000,261000,262700,264300,265800,267400,269000,270700,272400,274000,275600,276900,278100,279300,280300,281300,282200,283100,283900,284700,285300,285800,286300,286700,287200,287600,288000,288300,288700,289000,289200,289100,289100,289100,289200,289400,289600,289900,290300,290700,291200,291700,292000,292200,292600,293200,293700,294000,294100,294200,294200,294400,294400,294700,295300,296300,297000,296900,296600,296900,297400,297600,298200,298600,298600,298200,297800,297500,297200,297200,297600,297700,297200,296800,296500,296100,295500,295400,296100,297000,297900,298800,299500,300000,301000,302000,302900,303600,304200,304700,305600,306500,306900,307100,307700,308300,308600,308800,309000,309400,310300,310700,309200,307400,307500,309000,310500,312200,314100,315900,317500,318800,319800,320600,321400,322200,322400,322100,321700,321300,320700,320100,320600,321900,322600,322600,322900,323700,324200,324100,323500,322700,321800,321600,322000,322700,323100,323200,323200,323200,323200,323700,324300,324900,325700,327100,327800,327400,326200,325700,326300,327500,328200,328700,329000,329200,330200,329400,326100,323600,325200,328500,331500,332400
43,Arizona,16,104100,104500,104800,105200,105700,106100,106600,107100,107600,108200,108800,109300,109700,110200,110700,111200,111700,112300,112900,113600,114300,115100,115800,116400,117000,117400,117900,118500,119000,119400,119900,120400,121000,121500,122000,122500,123000,123500,124100,124700,125200,125800,126400,127000,127500,128000,128500,128800,129100,129400,129800,130100,130500,131000,131500,132200,133000,133900,134800,135600,136400,137100,137700,138300,138700,139200,139800,140400,141000,141800,142600,143300,143900,144500,144900,145400,146000,146800,147600,148600,149600,150500,151300,152100,152800,153400,154100,154800,155500,156300,157200,158000,159000,160000,161200,162600,164200,166200,168500,171200,174300,177800,181700,185900,190600,195500,200800,206600,213300,220800,228800,237100,245100,252300,258600,263700,267800,271100,273700,276000,277800,278800,278900,278100,276600,274700,272700,270600,268800,267300,265900,264500,263000,261300,259100,256600,253800,250600,247100,243400,239600,235500,231100,226800,222700,218900,215200,211700,208300,204800,201300,197800,194400,191000,187500,183700,180000,176400,173100,170400,168400,166700,165300,164300,163800,163500,163400,162600,161100,159600,158200,156200,153900,152300,151100,149300,147400,146300,145500,144800,143600,141800,140200,139000,138000,137500,137800,138600,139500,140200,141100,142900,145300,147800,150100,152400,154800,156700,158200,160100,161900,163400,164900,166900,169100,171500,173800,176000,178200,180100,181500,182700,184000,185000,185500,185800,186100,186800,187800,188700,189400,190000,190900,191700,192400,193100,193800,194300,195200,197000,198800,200600,202300,203900,205200,206400,207700,209000,210200,211300,212800,214400,215800,217300,219200,220800,222200,224000,225400,226100,226800,228400,230100,231400,232700,234100,235400,236700,238200,239400,240500,242200,244400,246000,247100,248400,250100,251600,253000,254700,256900,258700,260000,261400,262700,262900,262800,263000,263100
14,Arkansas,32,61100,61100,61100,61000,61000,60900,60900,60800,60900,61000,61200,61400,61600,61900,62100,62300,62600,62800,63000,63400,63800,64300,64800,65200,65600,65800,66000,66300,66500,66800,67000,67200,67400,67500,67700,67700,67800,68000,68200,68400,68500,68700,68900,69100,69300,69600,70000,70400,70800,71100,71300,71500,71700,71800,71900,72100,72300,72700,73000,73500,73800,74100,74400,74500,74700,74700,74700,74700,74700,74700,74800,74900,75100,75400,75700,76100,76600,77200,77900,78500,79100,79300,79300,79400,79400,79600,79900,80200,80500,80800,81100,81500,81800,82200,82700,83200,83700,84200,84700,85100,85600,86000,86600,87100,87800,88500,89300,90100,90900,91600,92200,92800,93500,94200,94900,95600,96400,97000,97500,98000,98400,98800,99300,99900,100700,101400,102000,102200,102200,102100,101900,101800,101900,102200,102300,102500,102600,102600,102600,102500,102500,102500,102600,102600,102700,102500,102100,101800,101300,100900,100400,100100,99900,99700,99600,99600,99700,99500,99100,98800,98500,98300,98100,98100,98100,98200,98500,98200,97600,97300,97600,97600,97100,96800,96500,96200,95800,95500,95100,95000,95000,94800,94300,93700,93600,93800,93900,93900,94000,94100,93800,93400,93200,93300,93700,94000,94100,94200,94400,94600,94900,95200,95600,96100,96600,96800,97000,97400,97900,98100,98200,98400,98600,98700,98800,98800,99100,99300,99500,99800,100300,100600,101000,101200,101300,101400,101700,102000,102300,102700,103200,103600,104000,104400,104800,105300,105800,106000,106300,106900,107700,108500,109100,109800,110500,111200,111900,112400,112700,113200,113700,114200,114800,115200,115600,116000,116400,116800,116800,116600,116800,117700,118800,119800,120600,121200,121400,121700,122100,122700,123400,124500,125300,125900,126500,126900,126800,126800,127000
21,California,1,166000,165900,165800,165700,165600,165600,165600,165600,165800,166100,166300,166200,166200,166300,166600,167000,167500,168200,169100,170200,171600,173300,174900,176300,177500,178600,179600,180500,181300,182100,183100,184100,185300,186700,188000,189300,190600,192000,193500,195300,197100,199100,201200,203700,206500,209500,212500,215200,218000,220700,223400,226000,228500,231000,233500,235900,238400,241000,243500,245800,248100,250400,252600,254700,256800,259200,261600,264200,267000,269900,272900,276000,279100,282400,286000,289800,293700,297800,302200,306700,311200,315500,319900,324300,329000,333800,338900,344300,349900,355800,361900,368100,374600,381400,388800,396900,406000,415500,425400,435100,444200,452600,460500,467700,474800,481700,488400,495300,502200,508900,515400,521400,526800,531600,535800,539500,542600,545500,548100,550500,552600,554000,554600,554000,552000,549400,546700,543900,541300,538900,536100,533000,529300,525300,520800,515400,508800,501700,494400,486800,478700,470200,460700,450200,438700,427200,416300,407000,399600,393400,387300,381500,375900,370700,365400,359500,353200,346600,341100,337900,336600,336200,336500,337200,337900,338800,339300,339000,339100,340000,340200,338800,337500,335700,333500,331300,328800,326000,323700,321800,319800,317900,316200,314600,312800,310600,308600,307400,306800,306200,306200,307500,309700,312200,314600,317000,319100,321800,325200,329300,333400,337100,341700,348000,355300,362400,369800,376900,382800,387800,391600,394800,397600,400600,403800,406800,409300,411800,414000,415900,417800,419800,421900,423500,425300,427700,430500,432900,435000,437400,440000,442500,444900,447800,450500,453500,456700,459600,461600,463500,465900,468300,470800,474000,477600,481200,485100,489100,492800,496100,499100,502000,505200,508200,511300,514500,517700,520600,524100,527900,531600,536100,541000,543900,545000,546600,548600,550200,551700,553300,555200,557200,558700,559200,559000,558400,557800,557500,556900
47,Colorado,22,130600,130600,130600,130600,130800,131100,131400,131700,132000,132200,132300,132300,132600,133200,134000,135000,136000,137000,137900,138700,139300,139800,140200,140500,141100,141800,142900,144200,145600,146900,148200,149500,150800,152100,153300,154500,155800,157200,158700,160300,161900,163500,165100,166800,168700,170500,172400,174200,176100,178000,179800,181600,183500,185300,187100,188900,190800,192700,194600,196300,197800,199200,200400,201500,202500,203400,204400,205200,206100,206900,207800,208700,209400,210000,210600,211000,211500,211900,212300,212800,213200,213700,214200,214700,215300,215700,216000,216300,216500,216900,217500,218200,218800,219400,220000,220500,220900,221400,221800,222400,222900,223500,224100,224800,225600,226300,227100,227800,228500,229300,230000,230800,231500,232300,233100,233700,234400,235100,235800,236400,237000,237500,237900,238100,238300,238400,238300,238300,238300,238500,238700,239000,239200,239400,239400,239300,239100,238600,237900,236900,235800,234700,233500,232500,231600,230800,230200,229500,228800,228200,227700,227300,227100,227000,226900,226400,225700,224700,223600,223000,222800,223000,223100,223100,223200,223600,224000,223600,222700,222100,221900,221300,220300,219200,218400,217600,216600,215400,214100,213600,213300,212700,212100,211700,211500,211400,211400,211900,212600,213200,213700,214400,215800,217400,218800,219900,221300,222600,223700,225000,226000,226800,227900,229500,231300,232900,234800,237100,239300,240800,242100,243600,244700,245700,246700,248000,249500,251500,253500,255600,257700,260000,262400,264800,267300,269900,272400,275000,278200,281600,285300,288800,292100,295200,298100,300800,303400,305900,308500,311200,313900,316800,319700,322700,325400,327900,330600,333400,336100,338900,342000,344800,347400,349600,351500,352800,354200,355600,357300,359000,361000,364200,367800,370300,371800,373200,374600,375700,376800,378500,381500,384600,387200,389200,390900,391700,391100,390000,389200
44,Connecticut,29,137200,137500,137700,137900,138000,138100,138200,138300,138600,139000,139300,139400,139500,139600,139700,139900,140100,140400,140600,140900,141400,142000,142500,142900,143200,143600,144100,144600,145200,146000,146800,147700,148700,149700,150800,151700,152600,153600,154600,155500,156500,157500,158400,159400,160500,161800,163000,164000,164900,165800,166600,167500,168300,169300,170300,171500,172800,174200,175600,177100,178500,180000,181400,182900,184400,185900,187500,189000,190500,192200,193800,195500,197300,199200,201200,203300,205400,207700,210100,212700,215400,218000,220400,222900,225300,227900,230400,232900,235400,237700,240000,242200,244400,246700,249000,251400,253800,256100,258600,261200,263800,266500,269300,272200,274900,277600,280100,282500,285000,287400,289900,292400,294700,296700,298500,299800,300700,301300,301700,302200,302700,302900,303000,302800,302500,302000,301300,300700,300300,300100,300000,299800,299500,298800,297700,296400,295100,293900,292600,291200,289600,287900,286000,284400,283000,281600,280000,278000,275800,273600,271600,269800,268200,266800,265100,263300,261200,258800,256400,254700,253900,253700,253600,253800,254100,254700,255200,254800,253600,252900,253000,252300,250800,249500,248200,246000,243400,241700,240600,239700,238800,237900,237100,236400,236000,235000,234000,233100,231900,229900,228400,227700,227400,227200,227000,227000,226700,225900,225500,225500,225700,225800,226000,226400,227300,228300,229000,229800,230500,231000,231500,232200,232800,232900,232900,233000,233000,232900,233100,233300,233200,233100,233100,233400,233900,234400,234200,233600,233500,233700,233500,233100,232900,232700,232500,232500,232800,233200,233600,234200,234600,234800,235100,235600,236300,237100,238000,238600,239300,239800,240200,241000,241900,242300,242000,242400,243800,245500,246500,247700,249100,250400,251100,251500,251900,252500,253300,254200,255100,256000,256400,256000,255700,256100,257100,257500,257100,257100,257400
30,Delaware,45,106500,106700,107000,107300,107500,107700,107700,107700,107800,108000,108300,108500,108700,109000,109200,109500,109900,110200,110500,110900,111600,112300,112900,113200,113200,113200,113100,113000,113100,113200,113500,113800,114300,115000,115600,116200,116700,117300,117800,118200,118500,118600,118600,118700,118800,119200,119700,120400,121200,122200,123100,124200,125100,125900,126600,127400,128400,129500,130600,131700,132800,133800,134700,135500,136200,136800,137200,137700,138400,139400,140400,141500,142500,143600,144600,145500,146400,147200,147900,148900,150200,151800,153600,155400,157200,158900,160700,162700,164700,166400,167900,169300,170800,172400,174200,176100,178300,180500,183000,186000,189900,195000,201100,206900,211000,213000,213300,213200,213300,213700,214100,214500,215200,216100,217400,218900,220700,222700,224900,226800,228400,229700,230900,232000,232900,233300,233300,233200,233300,233700,234200,234500,234700,235100,235800,236400,236800,236800,236700,237000,237200,237100,237100,236800,236100,235600,235400,234800,233700,232000,230900,230500,230100,229200,228000,226300,224100,222100,220500,219200,218300,217400,217200,218000,219000,219400,218800,220100,223600,225800,225100,224200,222900,221300,220900,222200,223500,223900,224900,225500,225100,224500,224300,223900,223400,223700,219100,207900,198000,194000,192100,190600,189600,188900,188300,187500,186300,185200,185400,186700,187500,187400,187800,188400,188300,187700,187600,188200,189700,191200,192600,194200,195500,196000,196000,195900,196200,197300,198500,199000,199000,198500,198700,199600,200500,201200,201500,201100,200900,201900,203100,204000,205000,206400,207600,208500,209300,209900,210900,212200,213200,213800,214800,216200,217400,218300,219500,220300,220700,221300,222500,223100,223300,223700,223400,223100,223600,223600,225500,231600,238800,241400,240100,237800,236300,235200,234800,235300,235700,235600,235600,236300,237600,238800,239700,239900,239100,237900,237100
16,District of Columbia,50,117600,118000,118400,118900,119400,120000,120700,121400,122300,123300,124100,124800,125300,125600,125700,125800,125800,125900,126100,126500,127100,127900,128700,129500,130200,131000,132000,133000,134000,135000,135900,136600,137400,138100,138800,139500,140100,140800,141600,142400,143100,143800,144500,145300,146300,147400,148600,149800,150900,152100,153200,154200,155300,156300,157400,158600,160200,161900,163700,165500,167300,169200,171000,172900,174800,176700,178500,180400,182400,184500,186800,189200,191800,194600,197700,201100,204600,208500,212800,217500,222600,227800,232700,237600,242400,247200,252000,256800,261800,267000,272300,277700,283200,288700,294400,300300,306400,312900,319700,326600,333300,340100,346600,352400,357500,362400,367300,372500,377900,383300,388900,394800,400600,406200,411200,415700,419800,423300,426300,428700,430400,431500,432100,432300,431900,431200,430400,429600,429500,430200,431600,433000,434200,434900,435300,435100,434100,432500,430800,428700,426400,423900,421500,418900,416000,413100,410200,407100,404000,400600,397200,393700,390400,387400,384600,381400,377700,374000,371000,369600,369600,370100,370900,371900,372800,373700,374300,375000,376000,376300,375200,373400,372000,371500,372000,373300,374700,375200,374400,373100,372100,372500,373400,373200,372400,372300,372800,373300,374000,375300,377600,380200,383300,386500,389700,393200,396900,401000,405100,408500,411600,414800,418400,423000,428900,435000,440500,447500,454900,460000,463100,467400,472100,476000,479400,484000,488600,492000,495100,498500,502300,505900,509500,512400,515000,518700,524100,528500,532300,537900,544900,550800,555600,561100,566500,570800,574400,576400,577600,581000,587700,594600,599300,602400,604300,605600,609700,616800,624700,632000,638000,642600,647300,651400,654400,656200,657900,658900,659100,659100,659100,661200,667100,673500,677400,680800,684600,688800,692300,696500,701900,706900,709700,708600,706700,700100,685700,672900,669500
36,Florida,4,87600,87700,87800,87900,88000,88200,88400,88600,89000,89400,89800,90000,90200,90400,90600,90800,91000,91200,91600,91900,92300,92800,93100,93300,93600,93800,94200,94600,95100,95600,96200,96700,97300,97900,98300,98700,99200,99800,100400,101100,102000,102800,103600,104300,105000,105800,106400,107000,107600,108200,108900,109700,110600,111400,112300,113300,114300,115400,116500,117500,118500,119400,120300,121200,122100,123000,123900,124800,125800,126800,127800,128800,129700,130500,131400,132300,133200,134200,135400,136600,137800,139000,140100,141400,142700,144200,145700,147100,148600,150200,151800,153500,155300,157200,159200,161400,163800,166300,169100,172200,175400,178800,182200,185800,189600,193600,197800,202300,207400,212600,218100,223600,229100,234200,238900,243200,247100,250800,254100,257400,260500,263000,264800,265800,266000,265600,264700,263400,261900,260500,258800,257000,255100,252800,250000,247000,243600,240100,236500,232700,228800,225000,221000,216900,212900,208800,204700,200600,196600,192600,188700,184800,181000,177400,173700,169900,166100,162200,158500,155600,153600,152100,151000,150300,149900,149900,150100,149400,148000,146900,146300,145300,144000,142600,141200,139900,138400,136900,135500,134500,133900,133300,132700,132000,131400,131000,131000,131000,130700,130500,130700,131100,131500,132000,132500,132800,133200,133800,134100,134600,135600,136600,137300,138300,139700,141100,142700,144300,146100,147700,149200,150500,151800,152900,153800,154800,156200,157400,158500,159800,161200,162300,163400,164400,165500,166500,167600,169000,170400,171800,173100,174600,176100,177400,178800,180400,181700,183000,184500,185900,187700,189800,191700,193700,195900,198200,200700,203400,206000,208100,209800,211600,213600,215400,217000,218700,220200,221700,223100,224200,225200,226800,229000,230800,232200,233800,235300,236900,238400,239700,241400,243100,244700,246300,247900,248500,248200,248100,248500
