Year,State,Table_Data,Footnote,High.Value,Low.Value,CPI.Average,High.2018,Low.2018,Price_Housing
2009,Alabama,...,,0.0,0.0,214.537,0.0,0.0,105666.67
2010,Alabama,...,,0.0,0.0,214.537,0.0,0.0,101700.0
2011,Alabama,...,,0.0,0.0,214.537,0.0,0.0,97250.0
2012,Alabama,...,,0.0,0.0,214.537,0.0,0.0,97266.67
2013,Alabama,...,,0.0,0.0,214.537,0.0,0.0,106500.0
2014,Alabama,...,,0.0,0.0,214.537,0.0,0.0,110666.67
2015,Alabama,...,,0.0,0.0,214.537,0.0,0.0,113200.0
2016,Alabama,...,,0.0,0.0,214.537,0.0,0.0,117066.67
2017,Alabama,...,,0.0,0.0,214.537,0.0,0.0,120333.33
2018,Alabama,...,,0.0,0.0,214.537,0.0,0.0,126608.33
2019,Alabama,...,,0.0,0.0,214.537,0.0,0.0,131450.0
2009,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,105666.67
2010,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,101700.0
2011,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,97250.0
2012,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,97266.67
2013,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,106500.0
2014,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,110666.67
2015,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,113200.0
2016,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,117066.67
2017,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,120333.33
2018,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,126608.33
2019,Alabama,...,,0.0,0.0,218.0555,0.0,0.0,131450.0
2009,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,105666.67
2010,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,101700.0
2011,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,97250.0
2012,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,97266.67
2013,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,106500.0
2014,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,110666.67
2015,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,113200.0
2016,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,117066.67
2017,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,120333.33
2018,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,126608.33
2019,Alabama,...,,0.0,0.0,224.9391667,0.0,0.0,131450.0
2009,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,105666.67
2010,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,101700.0
2011,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,97250.0
2012,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,97266.67
2013,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,106500.0
2014,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,110666.67
2015,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,113200.0
2016,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,117066.67
2017,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,120333.33
2018,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,126608.33
2019,Alabama,...,,0.0,0.0,229.5939167,0.0,0.0,131450.0
2009,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,105666.67
2010,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,101700.0
2011,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,97250.0
2012,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,97266.67
2013,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,106500.0
2014,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,110666.67
2015,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,113200.0
2016,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,117066.67
2017,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,120333.33
2018,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,126608.33
2019,Alabama,...,,0.0,0.0,232.95708330000002,0.0,0.0,131450.0
2009,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,105666.67
2010,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,101700.0
2011,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,97250.0
2012,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,97266.67
2013,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,106500.0
2014,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,110666.67
2015,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,113200.0
2016,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,117066.67
2017,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,120333.33
2018,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,126608.33
2019,Alabama,...,,0.0,0.0,236.73616669999998,0.0,0.0,131450.0
2009,Alabama,...,,0.0,0.0,237.017,0.0,0.0,105666.67
2010,Alabama,...,,0.0,0.0,237.017,0.0,0.0,101700.0
2011,Alabama,...,,0.0,0.0,237.017,0.0,0.0,97250.0
2012,Alabama,...,,0.0,0.0,237.017,0.0,0.0,97266.67
2013,Alabama,...,,0.0,0.0,237.017,0.0,0.0,106500.0
2014,Alabama,...,,0.0,0.0,237.017,0.0,0.0,110666.67
2015,Alabama,...,,0.0,0.0,237.017,0.0,0.0,113200.0
2016,Alabama,...,,0.0,0.0,237.017,0.0,0.0,117066.67
2017,Alabama,...,,0.0,0.0,237.017,0.0,0.0,120333.33
2018,Alabama,...,,0.0,0.0,237.017,0.0,0.0,126608.33
2019,Alabama,...,,0.0,0.0,237.017,0.0,0.0,131450.0
2009,Alabama,...,,0.0,0.0,240.0071667,0.0,0.0,105666.67
2010,Alabama,...,,0.0,0.0,240.0071667,0.0,0.0,101700.0
2011,Alabama,...,,0.0,0.0,240.0071667,0.0,0.0,97250.0
2012,Alabama,...,,0.0,0.0,240.0071667,0.0,0.0,97266.67
2013,Alabama,...,,0.0,0.0,240.0071667,0.0,0.0,106500.0
2014,Alabama,...,,0.0,0.0,240.0071667,0.0,0.0,110666.67
