,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_toptier
0,Alabama,211025.0,203441.67,196528.57,197808.33,214883.33,227441.67,229483.33,232016.67,235141.67,246141.67,255800.0,222701.08
1,Alaska,407675.0,408116.67,410471.43,416558.33,425541.67,429341.67,443016.67,454225.0,450725.0,457500.0,455633.33,432618.61
2,Arizona,305908.33,282266.67,263414.29,279166.67,313766.67,333108.33,345083.33,361500.0,379550.0,403700.0,419783.33,335204.33
3,Arkansas,181191.67,178366.67,176150.0,176766.67,181975.0,187100.0,192008.33,199950.0,207700.0,216033.33,224116.67,192850.76
4,California,650300.0,644875.0,609857.14,620866.67,717250.0,776375.0,835691.67,891633.33,947258.33,1043075.0,1060033.33,799746.86
5,Colorado,390125.0,377791.67,366200.0,374683.33,400625.0,430916.67,470791.67,509516.67,544691.67,579008.33,602250.0,458781.82
6,Connecticut,429341.67,413833.33,395357.14,383658.33,388450.0,392283.33,393833.33,393283.33,397650.0,409991.67,414066.67,401068.07
7,Delaware,356658.33,346408.33,335721.43,317291.67,322858.33,334616.67,340733.33,357116.67,366766.67,383658.33,384883.33,349701.19
8,District of Columbia,709808.33,718000.0,722235.71,738225.0,785133.33,821366.67,868883.33,903525.0,938216.67,967875.0,993266.67,833321.43
9,Florida,301775.0,279525.0,264292.86,267308.33,287708.33,316041.67,339233.33,363433.33,384400.0,401558.33,414533.33,329073.59
10,Georgia,270516.67,255616.67,237328.57,230041.67,246616.67,267141.67,282250.0,300466.67,322258.33,343258.33,358766.67,283114.72
11,Hawaii,700825.0,704691.67,699678.57,716375.0,761258.33,809925.0,849625.0,896475.0,931391.67,990341.67,992183.33,822979.11
12,Idaho,283108.33,259725.0,245350.0,244983.33,263208.33,279358.33,294050.0,316500.0,340016.67,379850.0,418333.33,302225.76
13,Illinois,315300.0,298616.67,278314.29,268600.0,283458.33,299950.0,308641.67,318200.0,327425.0,336941.67,339450.0,306808.87
14,Indiana,183716.67,182875.0,181221.43,181575.0,184308.33,188975.0,195366.67,204883.33,217475.0,233683.33,248350.0,200220.89
15,Iowa,186900.0,187475.0,186878.57,190700.0,198266.67,205625.0,215683.33,225816.67,236208.33,245008.33,252650.0,211928.35
